ID,Title_Lang_enUS,Description_Lang_enUS,Reward_Lang_enUS
1251,Not In My House,"In a single Warsong Gulch battle, kill 2 flag carriers before they leave the Warsong Flag Room.",
1252,Supreme Defender,Kill 100 flag carriers in Warsong Gulch.,
1253,Raised as a ghoul,Raised as a ghoul,
1254,Friend or Fowl?,Slay 15 turkeys in 3 minutes.,
1255,Scrooge,Throw a snowball at King Magni Bronzebeard during the Feast of Winter Veil.,
1257,The Scavenger,Successfully fish in each of the junk nodes listed below.,
1258,Take a Chill Pill,"In Eye of the Storm, kill a player who is under the effects of the Berserker power-up.",
1259,Not So Fast,"In Warsong Gulch, kill a player who is under the effects of the speed power-up.",
1260,Drunken Stupor,Fall 65 yards without dying while completely smashed during the Brewfest Holiday.,
1261,G.N.E.R.D. Rage,Earn 50 honorable kills while under the influence of the G.N.E.R.D. buff. It's a slap in the face!,
1262,Loremaster of Outland,Complete the Outland quest achievements listed below.,
1263,Explore Howling Fjord,"Explore Howling Fjord, revealing the covered areas of the world map.",
1264,Explore Borean Tundra,"Explore Borean Tundra, revealing the covered areas of the world map.",
1265,Explore Dragonblight,"Explore Dragonblight, revealing the covered areas of the world map.",
1266,Explore Grizzly Hills,"Explore Grizzly Hills, revealing the covered areas of the world map.",
1267,Explore Zul'Drak,"Explore Zul'Drak, revealing the covered areas of the world map.",
1268,Explore Sholazar Basin,"Explore Sholazar Basin, revealing the covered areas of the world map.",
1269,Explore Storm Peaks,"Explore Storm Peaks, revealing the covered areas of the world map.",
1270,Explore Icecrown,"Explore Icecrown, revealing the covered areas of the world map.",
1271,To Hellfire and Back,Complete 90 quests in Hellfire Peninsula.,
1272,Terror of Terokkar,Complete 68 quests in Terokkar Forest.,
1273,Nagrand Slam,Complete 87 quests in Nagrand.,
1274,Loremaster of Outland,Complete the Outland quest achievements listed below.,
1275,Bombs Away,Complete the Fires Over Skettis quest in under 2 minutes 15 seconds while not in a group.,
1276,Blade's Edge Bomberman,Complete the Bomb Them Again! quest in under 2 minutes 15 seconds while not in a group.,
1277,Rapid Defense,Complete the Defending Wyrmrest Temple quest in under 3 minutes while not in a group.,
1279,Flirt With Disaster,"Get completely smashed, put on your best perfume, throw a handful of rose petals on Sraaz and then kiss him. You'll regret it in the morning.",
1280,Flirt With Disaster,"Get completely smashed, put on your best perfume, throw a handful of rose petals on Jeremiah Payson and then kiss him. You'll regret it in the morning.",
1281,The Rocket's Red Glare,Shoot off 10 Red Rocket Clusters in 25 seconds or less.,
1282,Fa-la-la-la-Ogri'la,Complete the Bomb Them Again! quest while mounted on a flying reindeer during the Feast of Winter Veil.,
1283,Classic Dungeonmaster,Complete the classic dungeon achievements listed below.,
1284,Outland Dungeonmaster,Complete the Burning Crusade dungeon achievements listed below.,
1285,Classic Raider,Complete the classic raid achievements listed below.,
1286,Outland Raider,Complete the Burning Crusade raid achievements listed below.,
1287,Outland Dungeon Hero,Complete the heroic Burning Crusade dungeon achievements listed below.,
1288,Northrend Dungeonmaster,Complete the Northrend dungeon achievements listed below.,
1289,Northrend Dungeon Hero,Complete the heroic Northrend dungeon achievements listed below.,
1291,Lonely?,Enjoy a Buttermilk Delight with someone in Dalaran at a Romantic Picnic during the Love is in the Air celebration.,
1292,Yellow Brewfest Stein,Proud owner of the 2007 Vintage Yellow Brewfest Stein.,
1293,Blue Brewfest Stein,Proud owner of the 2008 Vintage Blue Brewfest Stein.,
1295,Crashin' & Thrashin',Gain 25 crashes with your Crashin' Thrashin' Racer during the Feast of Winter Veil.,
1296,Watch Him Die,"Defeat Krik'thir the Gatewatcher in Azjol-Nerub on Heroic Difficulty while Watcher Gashra, Watcher Narji, and Watcher Silthik are still alive.",
1297,Hadronox Denied,Defeat Hadronox in Azjol-Nerub on Heroic Difficulty before he webs the top doors and prevents more creatures from spawning.,
1298,Different bandage types used,Different bandage types used,
1299,Health potion used most,Health potion used most,
1300,Different health potions used,Different health potions used,
1301,Mana potion used most,Mana potion used most,
1302,Different mana potions used,Different mana potions used,
1303,Elixir consumed most,Elixir consumed most,
1304,Different elixirs used,Different elixirs used,
1305,Flask consumed most,Flask consumed most,
1306,Different flasks consumed,Different flasks consumed,
1307,Upper Blackrock Spire,Defeat General Drakkisath.,
1308,Strand of the Ancients Victory,Win Strand of the Ancients.,
1309,Strand of the Ancients Veteran,Complete 100 victories in Strand of the Ancients.,
1310,Storm the Beach,Capture the Titan Relic in under four minutes.,
1311,Medium Rare,Kill one of the extremely rare and hard to find Outland creatures listed below.,
1312,Bloody Rare,Kill all of the extremely rare and hard to find Outland creatures listed below.,
1336,Creature type killed the most,Creature type killed the most,
1337,Different creature types killed,Different creature types killed,
1339,Mage portal taken most,Mage portal taken most,
1356,I've Toured the Fjord,Complete 105 quests in Howling Fjord.,
1357,Fo' Grizzle My Shizzle,Complete 75 quests in Grizzly Hills.,
1358,Nothing Boring About Borean,Complete 150 quests in Borean Tundra.,
1359,Might of Dragonblight,Complete 130 quests in Dragonblight.,
1360,Loremaster of Northrend,Complete the Northrend quest achievements listed below.,
1361,Anub'Rekhan kills (Naxxramas 10 player),Anub'Rekhan kills (Naxxramas 10 player),
1362,Grand Widow Faerlina kills (Naxxramas 10 player),Grand Widow Faerlina kills (Naxxramas 10 player),
1363,Maexxna kills (Naxxramas 10 player),Maexxna kills (Naxxramas 10 player),
1364,Patchwerk kills (Naxxramas 10 player),Patchwerk kills (Naxxramas 10 player),
1365,Noth the Plaguebringer kills (Naxxramas 10 player),Noth the Plaguebringer kills (Naxxramas 10 player),
1366,Gothik the Harvester kills (Naxxramas 10 player),Gothik the Harvester kills (Naxxramas 10 player),
1367,Patchwerk kills (Naxxramas 25 player),Patchwerk kills (Naxxramas 25 player),
1368,Anub'Rekhan kills (Naxxramas 25 player),Anub'Rekhan kills (Naxxramas 25 player),
1369,Heigan the Unclean kills (Naxxramas 10 player),Heigan the Unclean kills (Naxxramas 10 player),
1370,Loatheb kills (Naxxramas 10 player),Loatheb kills (Naxxramas 10 player),
1371,Grobbulus kills (Naxxramas 10 player),Grobbulus kills (Naxxramas 10 player),
1372,Gluth kills (Naxxramas 10 player),Gluth kills (Naxxramas 10 player),
1373,Thaddius kills (Naxxramas 10 player),Thaddius kills (Naxxramas 10 player),
1374,Instructor Razuvious kills (Naxxramas 10 player),Instructor Razuvious kills (Naxxramas 10 player),
1375,Four Horsemen kills (Naxxramas 10 player),Four Horsemen kills (Naxxramas 10 player),
1376,Sapphiron kills (Naxxramas 10 player),Sapphiron kills (Naxxramas 10 player),
1377,Kel'Thuzad kills (Naxxramas 10 player),Kel'Thuzad kills (Naxxramas 10 player),
1378,Gluth kills (Naxxramas 25 player),Gluth kills (Naxxramas 25 player),
1379,Gothik the Harvester kills (Naxxramas 25 player),Gothik the Harvester kills (Naxxramas 25 player),
1380,Grand Widow Faerlina kills (Naxxramas 25 player),Grand Widow Faerlina kills (Naxxramas 25 player),
1381,Grobbulus kills (Naxxramas 25 player),Grobbulus kills (Naxxramas 25 player),
1382,Heigan the Unclean kills (Naxxramas 25 player),Heigan the Unclean kills (Naxxramas 25 player),
1383,Four Horsemen kills (Naxxramas 25 player),Four Horsemen kills (Naxxramas 25 player),
1384,Instructor Razuvious kills (Naxxramas 25 player),Instructor Razuvious kills (Naxxramas 25 player),
1385,Loatheb kills (Naxxramas 25 player),Loatheb kills (Naxxramas 25 player),
1386,Maexxna kills (Naxxramas 25 player),Maexxna kills (Naxxramas 25 player),
1387,Noth the Plaguebringer kills (Naxxramas 25 player),Noth the Plaguebringer kills (Naxxramas 25 player),
1388,Thaddius kills (Naxxramas 25 player),Thaddius kills (Naxxramas 25 player),
1389,Sapphiron kills (Naxxramas 25 player),Sapphiron kills (Naxxramas 25 player),
1390,Kel'Thuzad kills (Naxxramas 25 player),Kel'Thuzad kills (Naxxramas 25 player),
1391,Malygos kills (10 player),Malygos kills (10 player),
1392,Sartharion kills (Chamber of the Aspects 10 player),Sartharion kills (Chamber of the Aspects 10 player),
1393,Sartharion kills (Chamber of the Aspects 25 player),Sartharion kills (Chamber of the Aspects 25 player),
1394,Malygos kills (25 player),Malygos kills (25 player),
1396,Elders of Northrend,Honor the Elders which are located in Northrend.,
1400,Realm First! Magic Seeker,Participated in the realm first defeat of Malygos in 25-player mode.,Title Reward: The Magic Seeker
1402,Realm First! Conqueror of Naxxramas,Participated in the realm first defeat of Kel'Thuzad in Naxxramas in 25-player mode.,Title Reward: Conqueror of Naxxramas
1404,Realm First! Level 80 Gnome,First gnome on the realm to achieve level 80.,
1405,Realm First! Level 80 Blood Elf,First blood elf on the realm to achieve level 80.,
1406,Realm First! Level 80 Draenei,First draenei on the realm to achieve level 80.,
1407,Realm First! Level 80 Dwarf,First dwarf on the realm to achieve level 80.,
1408,Realm First! Level 80 Human,First human on the realm to achieve level 80.,
1409,Realm First! Level 80 Night Elf,First night elf on the realm to achieve level 80.,
1410,Realm First! Level 80 Orc,First orc on the realm to achieve level 80.,
1411,Realm First! Level 80 Tauren,First tauren on the realm to achieve level 80.,
1412,Realm First! Level 80 Troll,First troll on the realm to achieve level 80.,
1413,Realm First! Level 80 Forsaken,First forsaken on the realm to achieve level 80.,
1414,Realm First! Grand Master Blacksmith,First person on the realm to achieve 450 skill in blacksmithing.,
1415,Realm First! Grand Master Alchemist,First person on the realm to achieve 450 skill in alchemy.,
1416,Realm First! Cooking Grand Master,First person on the realm to achieve 450 skill in cooking.,
1417,Realm First! Grand Master Enchanter,First person on the realm to achieve 450 skill in enchanting.,
1418,Realm First! Grand Master Engineer,First person on the realm to achieve 450 skill in engineering.,
1419,Realm First! First Aid Grand Master,First person on the realm to achieve 450 skill in first aid.,
1420,Realm First! Grand Master Angler,First person on the realm to achieve 450 skill in fishing.,
1421,Realm First! Grand Master Herbalist,First person on the realm to achieve 450 skill in herbalism.,
1422,Realm First! Grand Master Scribe,First person on the realm to achieve 450 skill in inscription.,
1423,Realm First! Grand Master Jewelcrafter,First person on the realm to achieve 450 skill in jewelcrafting.,
1424,Realm First! Grand Master Leatherworker,First person on the realm to achieve 450 skill in leatherworking.,
1425,Realm First! Grand Master Miner,First person on the realm to achieve 450 skill in mining.,
1426,Realm First! Grand Master Skinner,First person on the realm to achieve 450 skill in skinning.,
1427,Realm First! Grand Master Tailor,First person on the realm to achieve 450 skill in tailoring.,
1428,Mine Sweeper,Get caught in 10 consecutive land mine explosions in the Sparksocket Minefield without landing.,
1436,Friends In High Places,Obtain a Zhevra mount through the Recruit-a-Friend program.,
1456,Fish and other things caught,Fish and other things caught,
1457,Explore Crystalsong Forest,"Explore Crystalsong Forest, revealing the covered areas of the world map.",
1458,Continent with the most Honorable Kills,Continent with the most Honorable Kills,
1462,Badges of Justice acquired,Badges of Justice acquired,
1463,Realm First! Northrend Vanguard,"First player on the realm to gain exalted reputation with the Argent Crusade, Wyrmrest Accord, Kirin Tor and Knights of the Ebon Blade.",
1464,Emblems of Heroism acquired,Emblems of Heroism acquired,
1465,Emblems of Valor acquired,Emblems of Valor acquired,
1466,Most Alliance factions at Exalted,Most Alliance factions at Exalted,
1467,Lich King 5-player bosses killed,Lich King 5-player bosses killed,
1485,Lich King 5-player different bosses killed,Lich King 5-player different bosses killed,
1486,Strand of the Ancients Honorable Kills,Strand of the Ancients Honorable Kills,
1487,Total Killing Blows,Total Killing Blows,
1488,World Killing Blows,"Cumulative for Azeroth, Northrend etc.",
1489,Continent with the most Killing Blows,Continent with the most Killing Blows,
1490,Arena Killing Blows,Arena Killing Blows,
1491,Battleground Killing Blows,Battleground Killing Blows,
1492,2v2 Arena Killing Blows,2v2 Arena Killing Blows,
1493,3v3 Arena Killing Blows,3v3 Arena Killing Blows,
1494,5v5 Arena Killing Blows,5v5 Arena Killing Blows,
1495,Alterac Valley Killing Blows,Alterac Valley Killing Blows,
1496,Arathi Basin Killing Blows,Arathi Basin Killing Blows,
1497,Warsong Gulch Killing Blows,Warsong Gulch Killing Blows,
1498,Eye of the Storm Killing Blows,Eye of the Storm Killing Blows,
1499,Strand of the Ancients Killing Blows,Strand of the Ancients Killing Blows,
1500,Deaths in Strand of the Ancients,Deaths in Strand of the Ancients,
1501,Total deaths from other players,Total deaths from other players,
1502,Quick Cap,Grab the flag and capture it in under 75 seconds.,
1504,Ingvar the Plunderer kills (Heroic Utgarde Keep),Ingvar the Plunderer kills (Heroic Utgarde Keep),
1505,Keristrasza kills (Heroic Nexus),Keristrasza kills (Heroic Nexus),
1506,Anub'arak kills (Heroic Azjol-Nerub),Anub'arak kills (Heroic Azjol-Nerub),
1507,Herald Volazj kills (Heroic Ahn'kahet),Herald Volazj kills (Heroic Ahn'kahet),
1508,The Prophet Tharon'ja kills (Heroic Drak'Tharon Keep),The Prophet Tharon'ja kills (Heroic Drak'Tharon Keep),
1509,Cyanigosa kills (Heroic Violet Hold),Cyanigosa kills (Heroic Violet Hold),
1510,Gal'darah kills (Heroic Gundrak),Gal'darah kills (Heroic Gundrak),
1511,Sjonnir the Ironshaper kills (Heroic Halls of Stone),Sjonnir the Ironshaper kills (Heroic Halls of Stone),
1512,Loken kills (Heroic Halls of Lightning),Loken kills (Heroic Halls of Lightning),
1513,Ley-Guardian Eregos kills (Heroic Oculus),Ley-Guardian Eregos kills (Heroic Oculus),
1514,King Ymiron kills (Heroic Utgarde Pinnacle),King Ymiron kills (Heroic Utgarde Pinnacle),
1515,Mal'Ganis defeated (Heroic CoT: Stratholme),Mal'Ganis defeated (Heroic CoT: Stratholme),
1516,Accomplished Angler,Complete the fishing achievements listed below.,Title Reward: Salty
1517,Northrend Angler,Catch a fish in each of the specific nodes listed below.,
1518,Fish caught,Fish caught,
1519,Fishing skill,Fishing skill,
1524,Cooking skill,Cooking skill,
1525,Cooking daily quests completed,Cooking daily quests completed,
1526,Fishing daily quests completed,Fishing daily quests completed,
1527,Highest Alchemy skill,Highest Alchemy skill,
1532,Highest Blacksmithing skill,Highest Blacksmithing skill,
1535,Highest Enchanting skill,Highest Enchanting skill,
1536,Highest Leatherworking skill,Highest Leatherworking skill,
1537,Highest Mining skill,Highest Mining skill,
1538,Highest Herbalism skill,Highest Herbalism skill,
1539,Highest Inscription skill,Highest Inscription skill,
1540,Highest Jewelcrafting skill,Highest Jewelcrafting skill,
1541,Highest Skinning skill,Highest Skinning skill,
1542,Highest Tailoring skill,Highest Tailoring skill,
1544,Highest Engineering skill,Highest Engineering skill,
1545,Ring of Valor matches,Ring of Valor matches,
1546,Ring of Valor victories,Ring of Valor victories,
1547,Dalaran Sewers matches,Dalaran Sewers matches,
1548,Dalaran Sewers victories,Dalaran Sewers victories,
1549,Strand of the Ancients battles,,
1550,Strand of the Ancients victories,,
1552,Frenzied Firecracker,Shoot off 10 Festival Firecrackers in 30 seconds or less.,
1556,25 Fish,Fish up 25 items.,
1557,50 Fish,Fish up 50 items.,
1558,100 Fish,Fish up 100 items.,
1559,250 Fish,Fish up 250 items.,
1560,500 Fish,Fish up 500 items.,
1561,1000 Fish,Fish up 1000 items.,
1563,Hail to the Chef,Complete the cooking achievements listed below.,Title Reward: Chef
1576,Of Blood and Anguish,Complete the Ring of Blood quests in Nagrand and the Ampitheater of Anguish quests in Zul'Drak.,
1596,Guru of Drakuru,Complete the main storyline quests involving Drakuru listed below.,
1636,Competitor's Tabard,Proud owner of a Competitor's Tabard from the 2008 Spirit of Competition event.,
1637,Spirit of Competition,Proud owner of a Spirit of Competition pet from the 2008 Spirit of Competition event.,
1638,Skyshattered,Defeat Captain Skyshatter in the Dragonmaw race on Netherwing Ledge.,
1656,Hallowed Be Thy Name,Complete the Hallow's End achievements listed below.,Title Reward: The Hallowed
1657,Hallowed Be Thy Name,Complete the Hallow's End achievements listed below.,Title Reward: The Hallowed
1658,Champion of the Frozen Wastes,Defeat the dungeon and raid bosses listed below.,Title Reward: Champion of the Frozen Wastes
1676,Loremaster of Eastern Kingdoms,Complete 700 quests in Eastern Kingdoms.,
1677,Loremaster of Eastern Kingdoms,Complete 550 quests in Eastern Kingdoms.,
1678,Loremaster of Kalimdor,Complete 700 quests in Kalimdor.,
1680,Loremaster of Kalimdor,Complete 685 quests in Kalimdor.,
1681,The Loremaster,Complete the quest achievements listed below.,Reward: Title & Loremaster's Colors
1682,The Loremaster,Complete the quest achievements listed below.,Reward: Title & Loremaster's Colors
1683,Brewmaster,Complete the Brewfest achievements listed below.,Title Reward: Brewmaster
1684,Brewmaster,Complete the Brewfest achievements listed below.,Title Reward: Brewmaster
1685,Bros. Before Ho Ho Ho's,"Use Mistletoe on the Horde ""Brothers"" during the Feast of Winter Veil.",
1686,Bros. Before Ho Ho Ho's,"Use Mistletoe on the Alliance ""Brothers"" during the Feast of Winter Veil.",
1687,Let It Snow,"During the Feast of Winter Veil, use a Handful of Snowflakes on each of the race/class combinations listed below.",
1688,The Winter Veil Gourmet,"During the Feast of Winter Veil, use your culinary expertise to produce a Gingerbread Cookie, Egg Nog and Hot Apple Cider.",
1689,He Knows If You've Been Naughty,Open one of the presents underneath the Winter Veil tree once they are available.,
1690,A Frosty Shake,"During the Feast of Winter Veil, use your Winter Veil Disguise kit to become a snowman and then dance with another snowman in Dalaran.",
1691,Merrymaker,Complete the Winter Veil achievements listed below.,Title Reward: Merrymaker
1692,Merrymaker,Complete the Winter Veil achievements listed below.,Title Reward: Merrymaker
1693,Fool For Love,Complete the Love is in the Air achievements listed below.,Title Reward: The Love Fool
1694,Lovely Luck Is On Your Side,Open a Lovely Dress Box and receive a Lovely Black Dress.,
1695,Dangerous Love,Assist the Steamwheedle Cartel in stopping the sinister Crown Chemical Co. plot.,
1696,The Rocket's Pink Glare,Shoot off 10 Love Rockets in 20 seconds or less.,
1697,Nation of Adoration,Complete the Lovely Charm Bracelet daily quest for each Alliance capital.,
1698,Nation of Adoration,Complete the Lovely Charm Bracelet daily quest for each Horde capital.,
1699,Fistful of Love,Use a Handful of Rose Petals on each of the race/class combinations listed below.,
1700,Perma-Peddle,Obtain a permanent Peddlefeet pet by procuring a Truesilver Shafted Arrow.,
1701,Be Mine!,"Eat the eight ""Bag of Candies"" heart candies listed below.",
1702,Sweet Tooth,Sample the Love is in the Air candies listed below.,
1703,"My Love is Like a Red, Red Rose",Obtain a Bouquet of Red or Ebon Roses during the Love is in the Air celebration.,
1704,I Pitied The Fool,Pity the Love Fool in the locations specified below.,
1705,Clockwork Rocket Bot,"Proud owner of the 2007 Vintage Winter Veil gift, the Clockwork Rocket Bot.",
1706,Crashin' Thrashin' Racer,"Proud owner of the 2008 Vintage Winter Veil gift, the Crashin' Thrashin' Racer.",
1707,Fool For Love,Complete the Love is in the Air achievements listed below.,Title Reward: The Love Fool
1716,Battleground with the most Killing Blows,Battleground with the most Killing Blows,
1717,Wintergrasp Victory,Win the battle for Wintergrasp.,
1718,Wintergrasp Veteran,Win 100 battles for Wintergrasp.,
1719,Battleground with the most Honorable Kills,Battleground with the most Honorable Kills,
1721,Archavon the Stone Watcher (25 player),Defeat Archavon the Stone Watcher in 25 player mode.,
1722,Archavon the Stone Watcher (10 player),Defeat Archavon the Stone Watcher in 10 player mode.,
1723,Vehicular Gnomeslaughter,Kill 100 players in Wintergrasp using a vehicle or a cannon.,
1727,Leaning Tower,Destroy a tower in Wintergrasp.,
1729,Alchemy Recipes learned,Alchemy Recipes learned,
1730,Blacksmithing Plans learned,Blacksmithing Plans learned,
1734,Engineering Schematics learned,Engineering Schematics learned,
1735,Inscriptions learned,Inscriptions learned,
1737,Destruction Derby,Destroy each of the vehicles listed below.,
1738,Jewelcrafting Designs learned,Jewelcrafting Designs learned,
1740,Leatherworking Patterns learned,Leatherworking Patterns learned,
1741,Tailoring Patterns learned,Tailoring Patterns learned,
1745,Cooking Recipes known,Cooking Recipes known,
1748,First Aid Manuals learned,First Aid Manuals learned,
1751,Didn't Stand a Chance,Kill 20 mounted players using a tower cannon.,
1752,Master of Wintergrasp,Complete the Wintergrasp achievements listed below.,
1753,Archavon the Stone Watcher kills (Wintergrasp 10 player),Archavon the Stone Watcher kills (Wintergrasp 10 player),
1754,Archavon the Stone Watcher kills (Wintergrasp 25 player),Archavon the Stone Watcher kills (Wintergrasp 25 player),
1755,Within Our Grasp,Attack Wintergrasp and succeed in 10 minutes or less.,
1756,Lich King 25-player bosses killed,Lich King 25-player bosses killed,
1757,Defense of the Ancients,Defend the beach without losing any walls.,
1759,Lich King 25-player different bosses killed,Lich King 25-player different bosses killed,
1760,Lich King 25-player boss killed the most,Lich King 25-player boss killed the most,
1761,The Dapper Sapper,Plant 100 Seaforium charges which successfully damage a wall. ,
1762,Not Even a Scratch,Win a Strand of the Ancients battle without losing any siege vehicles.,
1763,Artillery Veteran,Destroy 100 vehicles using a turret.,
1764,Drop it!,Kill 100 players carrying seaforium.,
1765,Steady Hands,Disarm 5 seaforium charges in a single battle.,
1766,Ancient Protector,Kill 10 players in the Courtyard of the Ancients in a single battle.,
1768,Lich King 25-player raids completed (final boss killed),Lich King 25-player raids completed (final boss killed),
1770,Lich King 10-player bosses killed,Lich King 10-player bosses killed,
1771,Lich King 10-player different bosses killed,Lich King 10-player different bosses killed,
1772,Lich King 10-player boss killed the most,Lich King 10-player boss killed the most,
1773,Beverage consumed most,Beverage consumed most,
1774,Different beverages consumed,Different beverages consumed,
1775,Different foods eaten,Different foods eaten,
1776,Food eaten most,Food eaten most,
1777,The Northrend Gourmet,Cook 15 of the Northrend recipes listed below.,
1778,The Northrend Gourmet,Cook 30 of the Northrend recipes listed below.,
1779,The Northrend Gourmet,Cook 45 of the Northrend recipes listed below.,
1780,Second That Emotion,"Eat each one of the ""emotion"" foods listed below.",
1781,Critter Gitter,"Using Critter Bites, coerce 10 critters to be your pet within 3 minutes or less.",
1782,Our Daily Bread,Complete each of the cooking daily quests offered by Katherine Lee in Dalaran.,
1783,Our Daily Bread,Complete each of the cooking daily quests offered by Awilo Lon'gomba in Dalaran.,
1784,Hail to the Chef,Complete the cooking achievements listed below.,Title Reward: Chef
1785,Dinner Impossible,Present a Great Feast in each of the battlegrounds listed below.,
1786,School of Hard Knocks,Take your orphan into the battlegrounds and complete the feats listed below.,
1788,Bad Example,Eat the sweets listed below while your orphan is watching.,
1789,Daily Chores,Complete five daily quests with your orphan out.,
1790,"Hail To The King, Baby",Defeat King Ymiron in Utgarde Pinnacle with your orphan out.,
1791,Home Alone,Use your Hearthstone while your orphan is with you.,
1792,"Aw, Isn't It Cute?",Obtain one of the Children's Week reward pets.,
1793,For The Children,Complete the Children's Week achievements listed below.,Title Reward: Matron/Patron
1795,Lunch Lady,Learn 25 cooking recipes.,
1796,Short Order Cook,Learn 50 cooking recipes.,
1797,Chef de Partie,Learn 75 cooking recipes.,
1798,Sous Chef,Learn 100 cooking recipes.,
1799,Chef de Cuisine,Learn 160 cooking recipes.,
1800,The Outland Gourmet,Cook each of the Outland cooking recipes listed below.,
1801,Captain Rumsey's Lager,Brew up some of Captain Rumsey's Lager.,
1816,Defenseless,Defeat Cyanigosa in The Violet Hold without using Defense Control Crystals and with Prison Seal Integrity at 100% while in Heroic Difficulty.,
1817,The Culling of Time,Defeat the Infinite Corruptor in The Culling of Stratholme on Heroic Difficulty.,
1832,Tastes Like Chicken,Sample 50 different kinds of Azeroth's delectable dishes.,
1833,It's Happy Hour Somewhere,Drink 25 different types of beverages.,
1834,Lightning Struck,Defeat General Bjarngrim in the Halls of Lightning on Heroic Difficulty while he has a Temporary Electrical Charge.,
1836,Old Crafty,Fish up Old Crafty in Orgrimmar.,
1837,Old Ironjaw,Fish up Old Ironjaw in Ironforge.,
1856,Make Quick Werk Of Him (10 player),Defeat Patchwerk in Naxxramas in 3 minutes or less in 10-player mode.,
1857,Make Quick Werk Of Him (25 player),Kill Patchwerk in Naxxramas in 3 minutes or less in 25-player mode.,
1858,Arachnophobia (10 player),Defeat Maexxna in Naxxramas within 20 minutes of Anub'Rekhan's death in 10-player mode.,
1859,Arachnophobia (25 player),Kill Maexxna in Naxxramas within 20 minutes of Anub'Rekhan's death in 25-player mode.,
1860,Gotta Go!,Defeat Anub'arak in Azjol-Nerub on Heroic Difficulty in 4 minutes or less.,
1862,Volazj's Quick Demise,Defeat Herald Volazj in Ahn'kahet on Heroic Difficulty in 2 minutes or less.,
1864,What the Eck?,Defeat Gal'darah in Gundrak on Heroic Difficulty while under the effects of Eck Residue.,
1865,Lockdown!,"Defeat Xevozz, Lavanthor, Ichoron, Zuramat the Obliterator, Erekem, and Moragg in The Violet Hold on Heroic Difficulty.",
1866,Good Grief,Defeat the Maiden of Grief in the Halls of Stone on Heroic Difficulty in 1 minute or less.,
1867,Timely Death,Defeat Loken in the Halls of Lightning on Heroic Difficulty in 2 minutes or less.,
1868,Make It Count,Defeat Ley-Guardian Eregos in The Oculus on Heroic Difficulty within 20 minutes of Drakos the Interrogator's death.,
1869,A Poke In The Eye (10 player),Defeat Malygos with fewer than 9 in 10-player mode.,
1870,A Poke In The Eye (25 player),Defeat Malygos with fewer than 21 in 25-player mode.,
1871,Experienced Drake Rider,"On three different visits to The Oculus, get credit for defeating Ley-Guardian Eregos while riding an Amber, Emerald, and Ruby drake on Heroic Difficulty.",
1872,Zombiefest!,Kill 100 Risen Zombies in 1 minute in The Culling of Stratholme on Heroic Difficulty.,
1873,Lodi Dodi We Loves the Skadi,Defeat Skadi the Ruthless in Utgarde Pinnacle on Heroic Difficulty within 3 minutes of starting the gauntlet event.,
1874,You Don't Have An Eternity (10 player),Defeat Malygos in 6 minutes or less in 10-player mode.,
1875,You Don't Have An Eternity (25 player),Defeat Malygos in 6 minutes or less in 25-player mode.,
1876,Besting the Black Dragonflight (10 player),Defeat Sartharion the Onyx Guardian in 10-player mode.,
1877,Less Is More (25 player),Defeat Sartharion the Onyx Guardian and the Twilight Drakes with fewer than 21 players in 25-player mode.,
1919,On The Rocks,Defeat Prince Keleseth in Utgarde Keep on Heroic Difficulty without shattering any Frost Tombs.,
1936,Does Your Wolpertinger Linger?,Obtain a Wolpertinger pet.,
1956,Higher Learning,"Read the volumes of ""The Schools of Arcane Magic"" found in Dalaran listed below.",Reward: The Schools of Arcane Magic - Mastery
1957,There's Gold In That There Fountain,Fish up the gold coins listed below from the Dalaran fountain.,
1958,I Smell A Giant Rat,Fish up the Giant Sewer Rat from The Underbelly in Dalaran.,
1976,Dalaran Cooking Awards gained,Dalaran Cooking Awards gained,
1977,Dalaran Jewelcrafter's Tokens gained,Dalaran Jewelcrafter's Tokens gained,
1996,The Safety Dance (10 player),Defeat Heigan the Unclean in Naxxramas without anyone in the raid dying in 10 player mode.,
1997,Momma Said Knock You Out (10 player),Defeat Grand Widow Faerlina in Naxxramas without dispelling or preventing frenzy in 10 player mode.,
1998,Dalaran Cooking Award,Obtain a Dalaran Cooking Award.,
1999,10 Dalaran Cooking Awards,Obtain 10 Dalaran Cooking Awards.,
2000,25 Dalaran Cooking Awards,Obtain 25 Dalaran Cooking Awards.,
2001,50 Dalaran Cooking Awards,Obtain 50 Dalaran Cooking Awards.,
2002,100 Dalaran Cooking Awards,Obtain 100 Dalaran Cooking Awards.,
2016,Grizzled Veteran,Complete the Grizzly Hills PvP daily quests listed below.,
2017,Grizzled Veteran,Complete the Grizzly Hills PvP daily quests listed below.,
2018,Timear Foresees,Complete the Northrend daily dungeon quests listed below.,
2019,Proof of Demise,Completed the Northrend daily dungeon quests listed below.,
2036,Intense Cold,Defeat Keristrasza in The Nexus on Heroic Difficulty without allowing Intense Cold to reach more than two stacks.,
2037,Chaos Theory,Defeat Anomalus in The Nexus on Heroic Difficulty without destroying any Chaotic Rifts.,
2038,Respect Your Elders,Defeat Elder Nadox in Ahn'kahet on Heroic Difficulty without killing any Ahn'kahar Guardians.,
