ID,ActivityName_lang,Description_lang
560,Win 5 Duels while Dressed to Kill,"Defeat other players in duels while wearing a tiara, top hat, or monocle."
561,/Bow to Your Arena Opponent,
562,First Class Traveler,Spend a total of 25 gold at flight masters and other transport services.
563,Craft |A:Professions-Icon-Quality-Tier3-Small:16:16|a Dragonflight Gems,
564,Fish Up a Coin of the Isles,
565,"Gain 10 Levels as a Warlock, Mage, or Paladin",
566,Win a PvP Pet Battle with 3 Humanoid Pets,
567,Taste the Ruby Feast's Fancy Foods,Sample 5 of the foods at the Ruby Feast in Valdrakken.
568,Complete the Chess Event in Karazhan,
569,Tell Your Dungeon Follower They're /Magnificent,Emote /magnificent at a Follower in a Follower Dungeon.
570,Graduate from Algeth'ar Academy in a Full Tuxedo,"Defeat the Echo of Doragosa while wearing a Tuxedo Jacket, Shirt, and Pants."
571,/Bow or /Curtsey at Fancy Nobles in the Court of Stars,
572,Darkmoon Faire: Purchase Noble Attire or /Flex Your Outfit,From 3/3 - 3/9 purchase a piece of Noble fashion from Chester or emote /flex at him while wearing the entire Noble outfit.
573,Hearthstone's 10th Anniversary: Defeat Whizbang,"From {EventStartDate} - {EventEndDate} defeat Whizbang at Stormwind, Orgrimmar, or Valdrakken."
574,Hearthstone's 10th Anniversary: Defeat Whizbang 5 Times,"From {EventStartDate} - {EventEndDate} defeat Whizbang at Stormwind, Orgrimmar, or Valdrakken."
575,Hearthstone's 10th Anniversary: Defeat Whizbang 15 Times,"From {EventStartDate} - {EventEndDate} defeat Whizbang at Stormwind, Orgrimmar, or Valdrakken."
576,Darkmoon Faire: Discover Your Fortune,From 3/3 - 3/9 receive a fortune from Sayge on Darkmoon Faire Island.
577,Northrend Cup: Complete 5 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper in Northrend.
578,Northrend Cup: Complete 10 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper in Northrend.
579,Northrend Cup: Complete 20 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper in Northrend.
580,Noblegarden: Complete 2 Daily Quests,From {EventStartDate} - {EventEndDate} complete Noblegarden daily quests.
581,Noblegarden: Complete 6 Daily Quests,From {EventStartDate} - {EventEndDate} complete Noblegarden daily quests.
582,Noblegarden: Complete the Duck Storyline,From {EventStartDate} - {EventEndDate} speak to Zinnia Brooks in Goldshire or Sylnaria Fareflame in Razor Hill to being this storyline.
583,Noblegarden: Defeat Daetan Swiftplume,From {EventStartDate} - {EventEndDate} defeat Daetan Swiftplume.
584,Noblegarden: Complete 12 Daily Quests,From {EventStartDate} - {EventEndDate} complete Noblegarden daily quests.
585,Noblegarden: Complete a Dragonflight Dungeon While Wearing Spring Reveler's Collection,"From {EventStartDate} - {EventEndDate} complete a Dragonflight dungeon while wearing either a Spring Reveler's Dress, Spring Reveler's Sun Hat or Spring Reveler's Attire."
586,/chicken at a Guard while Disguised as a Thistleleaf,Emote /chicken at a Stormwind City Guard or Orgrimmar Grunt while under the effects of the Thistleleaf Branch.
588,Darkmoon Faire: Earn 5 Darkmoon Prize Tickets,From 5/5 - 5/11 earn Darkmoon Prize Tickets from the Darkmoon Faire.
589,Darkmoon Faire: Complete Test Your Strength,From 5/5 - 5/11 complete the quest Test Your Strength on Darkmoon Faire Island.
590,Darkmoon Faire: Defeat the Pet Tamers,From 5/5 - 5/11 defeat the Master Tamers on Darkmoon Faire Island.
591,Draenei: Complete the Heritage Armor Storyline,"As a draenei, complete the following heritage armor quests:"
592,Troll: Complete the Heritage Armor Storyline,"As a Darkspear troll, complete the following heritage armor quests:"
593,Complete the Hunt for the Harbinger Storyline,Complete the following quests:
594,Pandaria: Remix: Complete 5 Daily Quests,Complete daily quests with a Timerunner.
595,Pandaria: Remix: Complete 10 Daily Quests,Complete daily quests with a Timerunner.
596,Pandaria: Remix: Complete 20 Daily Quests,Complete daily quests with a Timerunner.
597,"Pandaria: Remix: Earn 1,000 Bronze",Earn Bronze with a Timerunner.
598,"Pandaria: Remix: Earn 12,000 Bronze",Earn Bronze with a Timerunner.
599,"Pandaria: Remix: Earn 25,000 Bronze",Earn Bronze with a Timerunner.
600,Pandaria: Remix: Complete the Infinites Campaign,Complete the following quests:
601,Pandaria: Remix: Gain 10 Class Levels,Level up on any Timerunner character.
602,Pandaria: Remix: Gain 30 Class Levels,Level up on any Timerunner character.
603,Pandaria: Remix: Upgrade 2 Items,
604,Pandaria: Remix: Upgrade 5 Items,
605,Defeat 10 Dragonflight Raid Bosses,
606,Complete a PvP World Quest on Khaz Algar,
607,Earn Reputation Throughout Khaz Algar,
608,Final Surge: Complete War Within Dungeons,From {EventStartDate} - {EventEndDate} complete War Within dungeons.
609,Complete 5 Delves,
610,/wave to Magister Umbric in Telogrus Rift,Emote /wave to Magister Umbric in Telogrus Rift
611,Complete the Be Yourself Storyline,Complete the following quests:
612,Darkmoon Faire: Fish Up Items on Darkmoon Island,From 6/2 - 6/8 fish up items on Darkmoon Island
613,Recover Dragonriding Vigor While Ground Skimming in Thousand Needles or The Cape of Stranglethorn Vale,
614,Use a Fishing Chair and Colorful Beach Chair in Valdrakken,Use the toy Fishing Chair and Colorful Beach Chair in Valdrakken.
616,"Darkmoon Faire: Sample ""Goods"" from Rona Greenteeth",From 7/7 - 7/13 consume the food and goods from Rona Greenteeth.
617,Darkmoon Faire: /dance with Kolin the Dancing Bear,From 7/7 - 7/13 emote /dance with Kolin the Dancing Bear on Darkmoon Island.
618,Pandaria: Remix:  /sit at Eternus in the Jade Forest,Emote /sit at Eternus in the Jade Forest with a Timerunner.
619,"Pandaria: Remix: Complete 3 Scenarios, Dungeons or Raids",
620,Midsummer Fire Festival: Complete 2 Daily Quests,From {EventStartDate} - {EventEndDate} complete Midsummer Fire Festival daily quests.
621,Midsummer Fire Festival: Complete 5 Daily Quests,From {EventStartDate} - {EventEndDate} complete Midsummer Fire Festival daily quests.
622,Midsummer Fire Festival: Complete 7 Daily Quests,From {EventStartDate} - {EventEndDate} complete Midsummer Fire Festival daily quests.
623,Get X-tremely Water Blasted,Get blasted by a X-treme Water Blaster several times in quick succession.
624,Become an X-treme Water Blaster Master,Blast someone with a X-treme Water Blaster several times in quick succession.
625,Open Zskera Vault Doors,Use Zskera Vault Keys to open doors in the Zskera Vaults.
626,Loot A Treasure Chest in Niffen Caves,Loot a treasure chest while exploring caves alongside a niffen companion in Zaralek Cavern.
627,Kill Researchers Under Fire Creatures,Kill Researchers Under Fire creatures at the Ruins of Drekazera in Zaralek Cavern.
628,Darkmoon Faire: Ride a Sandbox Tiger,From 8/4 - 8/10 ride a Sandbox Tiger on Darkmoon Faire Island.
629,Darkmoon Faire: Ride a Darkmoon Strider,From 8/4 - 8/10 ride a Darkmoon Strider on Darkmoon Faire Island.
630,Sample a Dragonflight Scenario,"Complete either a Time Rift, Community Feast, or Superbloom event."
631,Pandaria: Remix: /flex at Pythagorus,Emote /flex at Pythagorus with a Timerunner.
632,Radiant Echoes: Collect 100 Residual Memories,Collect Residual Memories from the Radiant Echoes around Azeroth.
633,Radiant Echoes: Collect 1000 Residual Memories,Collect Residual Memories from the Radiant Echoes around Azeroth.
634,Radiant Echoes: Collect 5000 Residual Memories,Collect Residual Memories from the Radiant Echoes around Azeroth.
635,"Radiant Echoes: Collect 10,000 Residual Memories",Collect Residual Memories from the Radiant Echoes around Azeroth.
636,Radiant Echoes: Defeat 1 Radiant Memory,Defeat Radiant Memories around Azeroth.
637,Radiant Echoes: Defeat 5 Radiant Memories,Defeat Radiant Memories around Azeroth.
638,Radiant Echoes: Defeat 10 Radiant Memories,Defeat Radiant Memories around Azeroth.
639,Radiant Echoes: Defeat 15 Radiant Memories,Defeat Radiant Memories around Azeroth.
640,Radiant Echoes: Defeat the Remembered Firelord,
641,Radiant Echoes: Defeat the Remembered Onyxia,
642,Radiant Echoes: Defeat the Remembered Lich King,
643,,
644,Defeat Pet Tamers on Khaz Algar,Defeat 2 Pet Tamers on Khaz Algar.
645,Complete A Delve,
646,Complete 10 Delves,
647,Defeat Khaz Algar Elite Pets,Defeat 2 Khaz Algar elite pets.
648,Capture an Uncommon Rarity Battle Pet,Capture an uncommon rarity battle pet in Khaz Algar.
649,Capture an Umbral Amalgam Battle Pet,Capture the Umbral Amalgam in Hallowfall.
650,Complete A Theater Troupe Play,On Khaz Algar complete a Theater Troupe play.
651,Complete 5 Theater Troupe Play,On Khaz Algar complete Theater Troupe plays.
652,Complete 10 Theater Troupe Play,On Khaz Algar complete Theater Troupe plays.
653,/Bow at Stage Manager Huberta,Emote /bow at Stage Manager Huberta on the Isle of Dorn in the Proscenium.
654,/Bow at the Theater Troupe Actors,"Emote /bow at Elma, Wendelinne, Rabaan and Burkhalt on the Isle of Dorn in the Proscenium."
655,Complete All Theater Troupe Plays,On Khaz Algar complete all Theater Troupe plays.
656,Earn 2 Odd Globs of Wax,While Snuffling on Khaz Algar earn Odd Globs of Wax.
657,Earn 10 Odd Globs of Wax,While Snuffling on Khaz Algar earn Odd Globs of Wax.
658,Earn 25 Odd Globs of Wax,While Snuffling on Khaz Algar earn Odd Globs of Wax.
659,Complete a Weekly Snuffling Quest,
660,Complete Snuffling Events Across Khaz Algar,While earn Odd Globs of Wax in each Khaz Algar zone.
661,Awakening the Machine: Defeat 10 Waves of Enemies,On Khaz Algar defeat waves of enemies during the Awaking the Machine event.
662,Awakening the Machine: Defeat 20 Waves of Enemies,On Khaz Algar defeat waves of enemies during the Awaking the Machine event.
663,Awakening the Machine: Defeat 40 Waves of Enemies,On Khaz Algar defeat waves of enemies during the Awaking the Machine event.
664,"Awakening the Machine: Complete ""Worldsoul: Awakening Machine""","On Khaz Algar complete the quest ""Worldsoul: Awakening Machine""."
665,Awakening the Machine: Open Kuldas' Toolbox,On Khaz Algar open Kuldas' Toolboxes  during the Awakening the Machine event.
666,Defeat Elite Rares on Khaz Algar,
667,Obtain 100 Kej,
668,Obtain 300 Kej,
669,"Complete ""The Theater Troupe""","On Khaz Algar complete the quest ""The Theater Troupe""."
670,Defeat a Khaz Algar World Boss,
671,Activate 3 Lesser Keyflames,On Khaz Algar activate Lesser Keyflames.
672,Activate 5 Lesser Keyflames,On Khaz Algar activate Lesser Keyflames.
673,Contribute 30 Radiant Remnants,Contribute Radiant Remnants to any Keyflame.
674,Contribute 130 Radiant Remnants,Contribute Radiant Remnants to any Keyflame.
675,Complete a Hillhelm Family Quest,
676,"Complete ""Nerubian Device""",
677,"Complete ""Worldsoul: Spreading the Light""","On Khaz Algar complete the quest ""Worldsoul: Spreading the Light""."
678,"Complete ""Worldsoul: Pact""","On Khaz Algar complete the quest ""Worldsoul: Pact""."
679,Loot Pact Treasures,"On Khaz Algar loot Weave-Rat Caches, Memorial Treasures, or Kaheti Excavations."
680,Pact Rumors Completed,On Khaz Algar complete pact rumors.
681,Loot a Nerubian Caravan,On Khaz Algar loot a Nerubian caravan.
682,Obtain Valorstones,
683,Upgrade Items Using Valorstones,
684,Complete Weekly Gathering Quests,Speak to a gathering profession trainer in the Forgegrounds in Dornogal.
685,Hallow's End: Visit Candy Buckets in Khaz Algar,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets in Khaz Algar.
