ID,OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang
126825,,,You now have a chance to discover a Stunning Sapphire when Prospecting Null Stone as an extra by-product.
126826,,,+$ev1% additional chance to find a Stunning Sapphire instead of an Ambivalent Amber when Prospecting.
126827,,,You now have a chance to acquire a Stunning Sapphire when prospecting Ironclaw Ore.
126828,Sapphire,,Increase your ability to find Stunning Sapphires from Prospecting. You now have a 1% chance to acquire a Stunning Sapphire instead of an Ambivalent Amber when Prospecting per point in this sub-specialization.
126829,,,You now have a small chance of finding a second Radiant Ruby you uncover one from prospecting.
126830,,,+$ev1% additional chance to find a Radiant Ruby instead of an Ambivalent Amber when Prospecting.
126831,,,You now have a chance to discover a Radiant Ruby when Prospecting Null Stone as an extra by-product.
126832,,,+$ev1% additional chance to find a Radiant Ruby instead of an Ambivalent Amber when Prospecting.
126833,,,You now have a chance to acquire a Radiant Ruby when prospecting Aqirite.
126834,Ruby,,Increase your ability to find Radiant Rubies from Prospecting. You now have a 1% chance to acquire a Radiant Ruby instead of an Ambivalent Amber when Prospecting per point in this sub-specialization.
126835,,,You now have a small chance of finding a second Ostentatious Onyx you uncover one from prospecting.
126836,,,+$ev1% additional chance to find an Ostentatious Onyx instead of an Ambivalent Amber when Prospecting.
126837,,,You now have a chance to discover an Ostentatious Onyx when Prospecting Null Stone as an extra by-product.
126838,,,+$ev1% additional chance to find an Ostentatious Onyx instead of an Ambivalent Amber when Prospecting.
126839,,,You now have a chance to acquire an Ostentatious Onyx when prospecting Aqirite.
126840,Onyx,,Increase your ability to find Ostentatious Onyxes from Prospecting. You now have a 1% chance to acquire an Ostentatious Onyx instead of an Ambivalent Amber when Prospecting per point in this sub-specialization.
126841,,,You now have a small chance of finding a second Extravagant Emerald you uncover one from prospecting.
126842,,,+$ev1% additional chance to find an Extravagant Emerald instead of an Ambivalent Amber when Prospecting.
126843,,,You now have a chance to discover an Extravagant Emerald when Prospecting Null Stone as an extra by-product.
126844,,,+$ev1% additional chance to find an Extravagant Emerald instead of an Ambivalent Amber when Prospecting.
126845,,,You now have a chance to acquire an Extravagant Emerald when prospecting Ironclaw Ore.
126846,Emerald,,Increase your ability to find Extravagant Emeralds from Prospecting. You now have a 1% chance to acquire an Extravagant Emerald instead of an Ambivalent Amber when Prospecting per point in this sub-specialization.
126847,,,You now have a chance to uncover an Ambivalent Amber as an additional byproduct when Prospecting.
126848,,,Learn the final sub-specialization.
126849,,,Crushing and Prospecting is now +$ev1% faster.
126850,,,Learn a sub-specialization of your choice.
126851,,,You now have a chance to uncover Crushed Gemstones of an equivalent quality to the ore you Prospect.
126852,,,Learn a sub-specialization of your choice.
126853,,,Crushing and Prospecting is now +$ev1% faster.
126854,,,Learn a sub-specialization of your choice.
126855,,,You have a small chance to receive additional reagents when prospecting.
126856,Gem Finding,,Improve your ability to extract gems from various sources. Gain +$ev1 $en1 to Crushing per point in this sub-specialization.
126857,,,Teaches you the recipe for the Prismatic Null Stone optional reagent.
126858,,,+$ev1 $en1 when crafting stone reagents. 
126859,,,+$ev1 $en1 when crafting stone reagents. 
126860,,,+$ev1 $en1 when crafting stone reagents.
126861,Masonry,,Improve your ability to craft stone-based reagents. Gain +$ev1 $en1 when crafting stone reagents per point in this sub-specialization.
126862,,,Teaches you the recipe for the Elemental Focusing Lens optional reagent.
126863,,,+$ev1 $en1 when crafting glass reagents.
126864,,,+$ev1 $en1 when crafting glass reagents.
126865,,,+$ev1 $en1 when crafting glass reagents.
126866,Glasswork,,Improve your ability to craft glass-based reagents. Gain +$ev1 $en1 when crafting glass reagents per point in this sub-specialization.
126867,,,Learn the final sub-specialization.
126868,,,+$ev1 $en1 when crafting all reagents.
126869,,,Learn a sub-specialization of your choice.
126870,,,+$ev1 $en1 when crafting all reagents.
126871,,,Learn a sub-specialization of your choice.
126872,,,+$ev1 $en1 when crafting all reagents.
126873,,,Allows you to use Artisan's Authenticity finishing reagents when crafting reagents.
126874,Shaping,,Improve your ability to craft various reagents. Gain +$ev1 $en1 when crafting all reagents per point in this specialization.
126875,Sapphire,,
126876,Ruby,,
126877,Onyx,,
126878,Emerald,,
126879,Gem Finding,,
126880,Masonry,,
126881,Glasswork,,
126882,Shaping,, Improve in the practice of extracting jewelcrafting reagents in a usable state and utilizing them in specialized crafts.
126883,,,
126884,,,
127179,,,
127180,,,The effectiveness of $@spellname433230 is increased by $ev1%.
127181,,,+$ev1 $en1 when crafting phials.
127182,,,+$ev1 $en1 when crafting phials.
127183,,,The maximum stacks of $@spellname433230 are doubled when crafting phials.
127184,,,+$ev1 $en1 when crafting phials.
127185,,,"Whenever you craft phials, gain $@spellname433230. $@spellname433230 grants $ev3 Resourcefulness for subsequent crafts within $ev1 min, stacking up to $ev2 times."
127186,Profession Phials,,"Improve your ability to craft phials of various types, gaining +$ev1 $en1 per point in this sub-specialization when crafting phials."
127187,,,The effectiveness of $@spellname433188 is increased by $ev1%.
127188,,,The first flask you craft per day will grant you a soulbound conjured version of it at maximum quality.
127189,,,Increase the effectiveness of Resourcefulness by $ev1% when crafting flasks or phials.
127190,,,The maximum stacks of $@spellname433188 are doubled when crafting flasks.
127191,,,Increase the effectiveness of Resourcefulness by $ev1% when crafting flasks or phials.
127192,,,"Whenever you craft flasks, gain $@spellname433188. $@spellname433188 grants +$ev3 Resourcefulness for subsequent crafts within $ev1 min, stacking up to $ev2 times."
127193,Bulk Production,,"Improve your ability to craft flasks and phials in bulk, gaining $ev1 $en1 per point in this sub-specialization when crafting flasks or phials."
127194,,,Learn to craft $@spellname432962.
127195,,,Reduce the concentration cost for flasks and phials by $ev1%.
127196,,,Learn the final sub-specialization.
127197,,,The duration of flasks and phials is increased by an additional $ev1%.
127198,,,Learn a sub-specialization of your choice.
127199,,,The duration of flasks and phials is increased by $ev1%.
127200,,,"Whenever you consume a flask or phial, you have a chance to retain the empty vial."
127201,Fantastic Flasks,,"Improve your ability to craft flasks of various types, gaining +$ev1 $en1 per point in this specialization when crafting flasks."
127202,Profession Phials,,
127203,Bulk Production,,
127204,Fantastic Flasks,,Master the arts of flask and phial-crafting using techniques found in Khaz Algar.
127205,,,You may now sometimes recover Flasks as a result from experimenting with Blessing Blossoms.
127206,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Blessing Blossoms."
127207,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Blessing Blossoms."
127208,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Blessing Blossoms."
127209,,,"Reduces the concentration cost of potion, flask, and phial recipes which use Blessing Blossoms by $ev1%."
127210,,,Increases the maximum possible yield of transmutagen when performing acts of thaumaturgy on Blessing Blossoms.
127211,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Blessing Blossoms."
127212,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Blessing Blossoms."
127213,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Blessing Blossoms."
127214,,,"Increases the chance to discover recipes that use this herb. If all of its recipes are known, instead gain +1 to maximum potion yield when experimenting with Blessing Blossoms."
127215,Blessing Blossom Lore,,"Learn to better handle Blessing Blossom, gaining +$ev1 $en1 to potion, flask, and phial recipes which use Blessing Blossoms."
127216,,,You may now sometimes recover Flasks as a result from experimenting with Arathor's Spears.
127217,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Arathor's Spears."
127218,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Arathor's Spears."
127219,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Arathor's Spears."
127220,,,"Reduces the concentration cost of potion, flask, and phial recipes which use Arathor's Spears by $ev1%."
127221,,,Increases the maximum possible yield of transmutagen when performing acts of thaumaturgy on Arathor's Spears.
127222,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Arathor's Spears."
127223,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Arathor's Spears."
127224,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Arathor's Spears."
127225,,,"Increases the chance to discover recipes that use this herb. If all of its recipes are known, instead gain +1 to maximum potion yield when experimenting with Arathor's Spears."
127226,Arathor's Spear Lore,,"Learn to better handle Arathor's Spear, gaining +$ev1 $en1 to potion, flask, and phial recipes which use Arathor's Spears."
127227,,,You may now sometimes recover Flasks as a result from experimenting with Orbinids.
127228,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Orbinids."
127229,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Orbinids."
127230,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Orbinids."
127231,,,"Reduces the concentration cost of potion, flask, and phial recipes which use Orbinids by $ev1%."
127232,,,Increases the maximum possible yield of transmutagen when performing acts of thaumaturgy on Orbinids.
127233,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Orbinids."
127234,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Orbinids."
127235,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Orbinids."
127236,,,"Increases the chance to discover recipes that use this herb. If all of its recipes are known, instead gain +1 to maximum potion yield when experimenting with Orbinids."
127237,Orbinid Lore,,"Learn to better handle Orbinid, gaining +$ev1 $en1 to potion, flask, and phial recipes which use Orbinids."
127238,,,You may now sometimes recover Flasks as a result from experimenting with Luredrops.
127239,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Luredrops."
127240,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Luredrops."
127241,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Luredrops."
127242,,,"Reduces the concentration cost of potion, flask, and phial recipes which use Luredrops by $ev1%."
127243,,,Increases the maximum possible yield of transmutagen when performing acts of thaumaturgy on Luredrops.
127244,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Luredrops."
127245,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Luredrops."
127246,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Luredrops."
127247,,,"Increases the chance to discover recipes that use this herb. If all of its recipes are known, instead gain +1 to maximum potion yield when experimenting with Luredrops."
127248,Luredrop Lore,,"Learn to better handle Luredrop, gaining +$ev1 $en1 to potion, flask, and phial recipes which use this herb."
127249,,,You may now sometimes recover Flasks as a result from experimenting with Mycobloom.
127250,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Mycobloom."
127251,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Mycobloom."
127252,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Mycobloom."
127253,,,"Learn how to properly utilize Mycobloom while performing experiments to minimize the risk of a hazardous outcome, now matching that of the other Algari herbs."
127254,,,Increases the maximum possible yield of transmutagen when performing acts of thaumaturgy on Mycobloom.
127255,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Mycobloom."
127256,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Mycobloom."
127257,,,"+$ev1 $en1 to potion, flask, and phial recipes which use Mycobloom."
127258,,,"Increases the chance to discover recipes that use this herb. If all of its recipes are known, instead gain +1 to maximum potion yield when experimenting with Mycobloom."
127259,Mycobloom Lore,,"Learn to better handle Mycobloom, the most common and volatile of Algari herbs, gaining +$ev1 $en1 to potion, flask, and phial recipes which use this herb."
127260,,,Gain +$ev1 $en1 towards all Alchemy crafts.
127261,,,Learn the final sub-specialization.
127262,,,Gain +$ev1 $en1 towards all Alchemy crafts.
127263,,,Learn a sub-specialization of your choice.
127264,,,Learn to craft $@spellname433087.
127265,,,Learn a sub-specialization of your choice.
127266,,,Learn to craft $@spellname432204.
127267,,,Learn a sub-specialization of your choice.
127268,,,Gain +$ev1 $en1 towards all Alchemy crafts.
127269,,,Learn a sub-specialization of your choice.
127270,,,Gain +$ev1 $en1 towards all Alchemy crafts.
127271,Alchemical Mastery,,"Master the fundamentals of working with the herbs of Khaz Algar, gaining +$ev1 Alchemy $en1 per point in this specialization."
127272,Blessing Blossom Lore,,
127273,Arathor's Spear Lore,,
127274,Orbinid Lore,,
127275,Luredrop Lore,,
127276,Mycobloom Lore,,
127277,Alchemical Mastery,,Master your ability to experiment with the various flora found in Khaz Algar.
127278,,,Increase your yield when crafting toxic potions by up to 50%
127279,,,Consuming toxic potions has a chance to grant toxic reagents.
127280,,,Experimentation can now sometimes yield toxic reagents.
127281,,,Learn to infuse toxic reagents with your potions.
127282,,,Neutralizing toxic potions now grants toxic reagents.
127283,Toxic Potions,,"Improve your ability to incorporate toxic ingredients into your potions, gaining $ev1 $en when crafting toxic potions."
127284,,,The effectiveness of $@spellname433187 is increased by $ev1%.
127285,,,The first potion you craft per day will grant you $ev1 soulbound conjured copies at max quality.
127286,,,Resourcefulness refunds an additional $ev1% when crafting potions.
127287,,,Your maximum stacks of $@spellname433187 are doubled when crafting potions.
127288,,,+$ev1 $en1 when crafting potions.
127289,,,"Whenever you craft potions, gain $@spellname433187 which grants +$ev3 Multicraft for subsequent potion crafts within $ev1 minutes, stacking up to $ev2 times."
127290,Bulk Production,,"Improve your ability to craft potions in large quantities, gaining +$ev1 $en1 when crafting potions."
127291,,,Learn to craft $@spellname432963s.
127292,,,Reduces concentration cost by $ev1% when crafting potions.
127293,,,+$ev1 $en1 when crafting potions.
127294,,,Learn the sub-specialization for potions.
127295,,,+$ev1 $en1 when crafting potions.
127296,,,+$ev1 $en1 when crafting potions.
127297,,,"Whenever you consume a potion, you have a chance to retain the empty vial."
127298,Potent Potions,,"Improve your ability to craft potions of various types, gaining +$ev1 $en1 when crafting potions."
127299,Toxic Potions,,
127300,Bulk Production,,
127301,Potent Potions,,Master the subtle art of potion-making via techniques from Khaz Algar.
127302,,,"Empower your philosopher stone, increasing the maximum number of Transmutation charges you can accrue by $ev1."
127303,,,Gain +$ev1 $en1 when performing Transmutations.
127304,,,Gain +$ev1 $en1 when performing Transmutations.
127305,,,"Further empower your philosopher stone, increasing the frequency in which you can perform transmutations."
127306,,,Gain +$ev1 $en1 when performing Transmutations.
127307,,,Gain +$ev1 $en1 when performing Transmutations.
127308,,,"Empower your philosopher stone, increasing the maximum number of Transmutation charges you can accrue by $ev1."
127309,Transmutation,,"Improve your understanding of the fundamentals of transmutation, gaining +$ev1 $en1 per point in this specialization."
127310,,,Learn a sub-specialization of your choice.
127311,,,Performing acts of $@spellname430315 now grant Gleaming Transmutagen.
127312,,,Learn a sub-specialization of your choice.
127313,,,Performing acts of $@spellname430315 now sometimes reveal a beautiful gemstone.
127314,,,Learn a sub-specialization of your choice.
127315,,,Performing acts of $@spellname430315 now have a chance to create a Coreway Catalyst.
127316,,,Learn a sub-specialization of your choice.
127317,,,You have a chance to receive additional transmutagen when performing acts of $@spellname430315.
127318,,,Allows you to attempt to perform acts of $@spellname430315.
127319,Thaumaturgy,,Further your understanding of the compounds which make up all things. Gain +$ev1 $en1 to $@spellname430315 and transmutations per point in this specialization.
127320,Transmutation,,
127321,Thaumaturgy,,Master the art of transmuting materials into other substances.
127322,,,
127332,,,
127333,,,
127334,,,
127335,,,
127336,,,
127337,,,
127338,,,
127339,,,
127340,,,
127341,,,
127342,,,
127343,,,
127344,,,
127345,,,
127346,,,
127347,,,
127348,,,
127349,,,
127350,,,
127351,,,
127352,,,
127353,,,
127354,,,
127355,,,
127356,,,
127357,,,
127358,,,
127359,,,
127360,,,
127361,,,
127362,,,
127363,,,
127364,,,
127365,,,
127366,,,
127367,,,
127368,,,
127369,,,
127370,,,
127371,,,
127372,,,
127373,,,
127417,,,
127418,,,Your Earthen Master's Hammer now freely repairs this slot.
127419,,,Gain +$ev1 $en1 when crafting plate hand armor.
127420,,,Gain +$ev1 $en1 when crafting plate hand armor.
127421,,,Gain +$ev1 $en1 when crafting plate hand armor.
127422,,,Gain +$ev1 $en1 when crafting plate hand armor.
127423,,,Learn to craft $@spellname450228.
127424,Gauntlets,,"Become an expert at crafting plate armor for the hands, gaining +$ev1 $en1 per point in this sub-specialization."
127425,,,Your Earthen Master's Hammer now freely repairs this slot.
127426,,,Gain +$ev1 $en1 when crafting plate wrist armor.
127427,,,Gain +$ev1 $en1 when crafting plate wrist armor.
127428,,,Gain +$ev1 $en1 when crafting plate wrist armor.
127429,,,Gain +$ev1 $en1 when crafting plate wrist armor.
127430,,,Learn to craft $@spellname450226.
127431,Vambraces,,"Become an expert at crafting plate armor for the wrists, gaining +$ev1 $en1 per point in this sub-specialization."
127432,,,Your Earthen Master's Hammer now freely repairs this slot.
127433,,,Gain +$ev1 $en1 when crafting plate waist armor.
127434,,,Gain +$ev1 $en1 when crafting plate waist armor.
127435,,,Gain +$ev1 $en1 when crafting plate waist armor.
127436,,,Gain +$ev1 $en1 when crafting plate waist armor.
127437,,,Learn to craft $@spellname450222.
127438,Belts,,"Become an expert at crafting plate armor for the waist, gaining +$ev1 $en1 per point in this sub-specialization."
127439,,,Learn to use Finishing Reagents to add additional effects when crafting Fine Armor and the final sub-specialization.
127440,,,Gain +$ev1 $en1 when crafting fine plate armor.
127441,,,Learn a sub-specialization of your choice.
127442,,,Gain +$ev1 $en1 when crafting fine plate armor.
127443,,,Learn a sub-specialization of your choice.
127444,,,Gain +$ev1 $en1 when crafting fine plate armor.
127445,,,Learn to use Optional Reagents to specify the secondary stats and add embellishments to fine plate armor.
127446,Fine Armor,,"Improve at crafting the finest plate armor pieces, including those for the waist, wrists, and hands, gaining +$ev1 $en1 per point in this sub-specialization."
127447,,,Your Earthen Master's Hammer now freely repairs this slot.
127448,,,Gain +$ev1 $en1 when crafting plate feet armor.
127449,,,Gain +$ev1 $en1 when crafting plate feet armor.
127450,,,Gain +$ev1 $en1 when crafting plate feet armor.
127451,,,Gain +$ev1 $en1 when crafting plate feet armor.
127452,,,Learn to craft $@spellname450220.
127453,Sabatons,,"Become an expert at crafting plate feet armor, gaining +$ev1 $en1 per point in this sub-specialization."
127454,,,Your Earthen Master's Hammer now freely repairs this slot.
127455,,,Gain +$ev1 $en1 when crafting plate shoulder armor.
127456,,,Gain +$ev1 $en1 when crafting plate shoulder armor.
127457,,,Gain +$ev1 $en1 when crafting plate shoulder armor.
127458,,,Gain +$ev1 $en1 when crafting plate shoulder armor.
127459,,,Learn to craft $@spellname450227.
127460,Pauldrons,,"Become an expert at crafting plate shoulder armor, gaining +$ev1 $en1 per point in this sub-specialization."
127461,,,Your Earthen Master's Hammer now freely repairs this slot.
127462,,,Gain +$ev1 $en1 when crafting plate head armor.
127463,,,Gain +$ev1 $en1 when crafting plate head armor.
127464,,,Gain +$ev1 $en1 when crafting plate head armor.
127465,,,Gain +$ev1 $en1 when crafting plate head armor.
127466,,,Learn to craft $@spellname450224.
127467,Helms,,"Become an expert at crafting plate head armor, gaining +$ev1 $en1 per point in this sub-specialization."
127468,,,Learn to use Finishing Reagents to add additional effects when crafting Fine Armor and the final sub-specialization.
127469,,,Gain +$ev1 $en1 when crafting sculpted armor.
127470,,,Learn a sub-specialization of your choice.
127471,,,Gain +$ev1 $en1 when crafting sculpted armor.
127472,,,Learn a sub-specialization of your choice.
127473,,,Gain +$ev1 $en1 when crafting sculpted armor.
127474,,,Learn to use Optional Reagents to specify the secondary stats and add embellishments to sculpted armor.
127475,Sculpted Armor,,"Improve at crafting sculpted armor pieces, including those for the head, shoulders, and feet, gaining +$ev1 $en1 per point in this sub-specialization."
127476,,,Your Earthen Master's Hammer now freely repairs this slot.
127477,,,Gain +$ev1 $en1 when crafting shields.
127478,,,Gain +$ev1 $en1 when crafting shields.
127479,,,Gain +$ev1 $en1 when crafting shields.
127480,,,Gain +$ev1 $en1 when crafting shields.
127481,,,Learn to craft $@spellname450223.
127482,Shields,,"Become an expert at crafting shields, gaining +$ev1 $en1 per point in this sub-specialization."
127483,,,Your Earthen Master's Hammer now freely repairs this slot.
127484,,,Gain +$ev1 $en1 when crafting plate leg armor.
127485,,,Gain +$ev1 $en1 when crafting plate leg armor.
127486,,,Gain +$ev1 $en1 when crafting plate leg armor.
127487,,,Gain +$ev1 $en1 when crafting plate leg armor.
127488,,,Learn to craft $@spellname450225.
127489,Greaves,,"Become an expert at crafting plate leg armor, gaining +$ev1 $en1 per point in this sub-specialization."
127490,,,Your Earthen Master's Hammer now freely repairs this slot.
127491,,,Gain +$ev1 $en1 when crafting plate chest armor.
127492,,,Gain +$ev1 $en1 when crafting plate chest armor.
127493,,,Gain +$ev1 $en1 when crafting plate chest armor.
127494,,,Gain +$ev1 $en1 when crafting plate chest armor.
127495,,,Learn to craft $@spellname450221.
127496,Breastplates,,"Become an expert at crafting plate chest armor, gaining +$ev1 $en1 per point in this sub-specialization."
127497,,,Learn to use Finishing Reagents to add additional effects when crafting Fine Armor and the final sub-specialization.
127498,,,Gain +$ev1 $en1 when crafting large plate armor or shields.
127499,,,Learn a sub-specialization of your choice.
127500,,,Gain +$ev1 $en1 when crafting large plate armor or shields.
127501,,,Learn a sub-specialization of your choice.
127502,,,Gain +$ev1 $en1 when crafting large plate armor or shields.
127503,,,Learn to use Optional Reagents to specify the secondary stats and add embellishments to large plate armor or shields.
127504,Large Plate Armor,,"Improve at crafting the largest of armor pieces, including those for the chest and legs, as well as shields, gaining +$ev1 $en1 per point in this sub-specialization."
127505,,,Gain +$ev1 $en1 when crafting armor or shields and learn the final sub-specialization.
127506,,,Gain +$ev1 $en1 when crafting armor or shields.
127507,,,Gain +$ev1 $en1 when crafting armor or shields.
127508,,,Learn a sub-specialization of your choice.
127509,,,Gain +$ev1 $en1 when crafting armor or shields.
127510,,,Gain +$ev1 $en1 when crafting armor or shields.
127511,,,Learn to use optional reagents to upgrade item level on most plate armor or shields and unlock a sub-specialization of your choice.
127512,Armorsmithing,,"Improve at crafting plate armor and shields, gaining +$ev1 $en1 per point in this specialization."
127513,Gauntlets,,
127514,Vambraces,,
127515,Belts,,
127516,Fine Armor,,
127517,Sabatons,,
127518,Pauldrons,,
127519,Helms,,
127520,Sculpted Armor,,
127521,Shields,,
127522,Greaves,,
127523,Breastplates,,
127524,Large Plate Armor,,
127525,Armorsmithing,,Leverage the tools and techniques of Khaz Algar to craft plate armor.
127526,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127527,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127528,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127529,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127530,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127531,Gracious Forging,,"Strengthen your bond to the forge, improving your ability to craft multiple items. Gain +$ev1 $en1 while using Everburning Ignition per point in this sub-specialization."
127532,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127533,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127534,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127535,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127536,,,Gain +$EV1 $EN1 when using Everburning Ignition.
127537,Discerning Discipline,,"Become a more discerning and resourceful Blacksmith, improving your ability to save valuable reagents. Gain +$ev1 $en1 while using Everburning Ignition per point in this sub-specialization."
127538,,,Gain +$EV1 $EN1 when using Everburning Ignition and Ingenuity refunds 10% additional Concentration.
127539,,,Gain +$EV1 $EN1 when using Everburning Ignition and Ingenuity refunds 10% additional Concentration.
127540,,,Gain +$EV1 $EN1 when using Everburning Ignition and Ingenuity refunds 10% additional Concentration.
127541,,,Gain +$EV1 $EN1 when using Everburning Ignition and Ingenuity refunds 10% additional Concentration.
127542,,,Gain +$EV1 $EN1 when using Everburning Ignition and Ingenuity refunds 10% additional Concentration.
127543,Imaginative Foresight,,"Become a more inspired and imaginative Blacksmith, potentially improving the quality of your crafts. Gain +$ev1 $en1 while using Everburning Ignition per point in this sub-specialization."
127544,,,Gain two extra charges of Everburning Ignition and learn the final sub-specialization.
127545,,,Everburning Ignition charges reset 25% faster.
127546,,,Gain an extra charge of Everburning Ignition and unlock a sub-specialization of your choice.
127547,,,Everburning Ignition charges reset 25% faster.
127548,,,Gain an extra charge of Everburning Ignition and unlock a sub-specialization of your choice.
127549,,,Everburning Ignition charges reset 25% faster.
127550,,,Gain an extra charge of Everburning Ignition and unlock a sub-specialization of your choice.
127551,,,Everburning Ignition charges reset 25% faster.
127552,,,Learn to craft: $@spellname453727.
127553,Everburning Forge,,"Ignite the forge and learn useful techniques to improve your crafts. Gain Ingenuity, Multicraft, and Resourcefulness per point in this specialization."
127554,Gracious Forging,,
127555,Discerning Discipline,,
127556,Imaginative Foresight,,
127557,Everburning Forge,,"Unlock the secrets of the Everburning Forge, significantly improving your Blacksmithing capabilities while active."
127714,,,Your Earthen Master's Hammer now freely repairs your axes and polearms.
127715,,,Gain +$ev1 $en1 when crafting axes and polearms.
127716,,,"Gain +$ev1 and $en1 when crafting axes, polearms, and learn to craft $@spellname450239"
127717,,,Gain +$ev1 $en1 when crafting axes and polearms.
127718,,,Gain +$ev1 $en1 when crafting axes and polearms.
127719,,,Learn to craft $@spellname450234 and gain +$ev1 $en1 when crafting axes and polearms.
127720,Axes and Polearms,,"Become an expert at crafting axes and polearms, gaining +$ev1 $en1 when crafting axes and polearms per point in this sub-specialization."
127721,,,Your Earthen Master's Hammer now freely repairs your maces.
127722,,,Gain +$ev1 $en1 when crafting maces.
127723,,,Learn to craft $@spellname450241.
127724,,,Gain +$ev1 $en1 when crafting maces.
127725,,,Gain +$ev1 $en1 when crafting maces.
127726,,,Gain +$ev1 $en1 when crafting maces and learn to craft $@spellname450233.
127727,Maces,,"Become an expert at crafting maces, gaining +$ev1 $en1 when crafting maces per point in this sub-specialization."
127728,,,Learn to use Finishing Reagents to add additional effects when crafting hafted weapons.
127729,,,Gain +$ev1 $en1 when crafting hafted weapons and learn the final sub-specialization.
127730,,,Gain +$ev1 $en1 when crafting hafted weapons.
127731,,,Gain +$ev1 $en1 when crafting hafted weapons and learn a sub-specialization of your choice.
127732,,,Gain +$ev1 $en1 when crafting hafted weapons.
127733,,,Learn to use Optional Reagents to specify the secondary stats and add embellishments to hafted weapons.
127734,Hafted,,"Improve at crafting hafted weapons such as maces, axes, and polearms, gaining +$ev1 $en1 when crafting hafted weapons per point in this sub-specialization."
127735,,,Your Earthen Master's Hammer now freely repairs your long bladed weapons.
127736,,,Gain +$ev1 $en1 when crafting long bladed weapons.
127737,,,Gain +$ev1 $en1 when crafting long bladed weapons and learn to craft $@spellname450235.
127738,,,Gain +$ev1 $en1 when crafting long bladed weapons and learn to craft $@spellname450238.
127739,,,Gain +$ev1 $en1 when crafting long bladed weapons.
127740,,,Learn to craft $@spellname450231 and gain +$ev1 $en1 when crafting long bladed weapons.
127741,Long Blades,,"Become an expert at crafting long bladed weapons such as swords and glaives, gaining +$ev1 $en1 when crafting long bladed weapons per point in this sub-specialization."
127742,,,Your Earthen Master's Hammer now freely repairs your short bladed weapons.
127743,,,Gain +$ev1 $en1 when crafting short bladed weapons.
127744,,,Gain +$ev1 $en when crafting short bladed weapons and learn to craft $@spellname450230.
127745,,,Gain +$ev1 $en1 when crafting short bladed weapons.
127746,,,Gain +$ev1 $en1 when crafting short bladed weapons.
127747,,,Learn to craft $@spellname450229 and gain +$ev1 $en1 when crafting short bladed weapons.
127748,Short Blades,,"Become an expert at crafting short bladed weapons and tools including knives, daggers, and fist weapons, gaining +$ev1 $en1 when crafting short bladed weapons per point in this sub-specialization."
127749,,,Learn to use Finishing Reagents to add additional effects when crafting bladed weapons.
127750,,,Gain +$ev1 $en1 when crafting bladed weapons and learn the final sub-specialization.
127751,,,Gain +$ev1 $en1 when crafting bladed weapons and learn to craft $@spellname450232.
127752,,,Gain +$ev1 $en1 when crafting bladed weapons and learn a sub-specialization of your choice.
127753,,,Gain +$ev1 $en1 when crafting bladed weapons.
127754,,,Learn to use Optional Reagents to specify the secondary stats and add embellishments to bladed weapons.
127755,Blades,,"Improve at crafting bladed weapons and tools, gaining +$ev1 $en1 when crafting bladed weapons per point in this sub-specialization."
127756,,,Gain +$ev1 $en1 when crafting various weapons and learn the final sub-specialization.
127757,,,Gain +$ev1 $en1 when crafting various weapons.
