ID,Title_lang,BodyText_lang
11251,Section 54,
11252,Section 55,
11253,Section 56,
11254,Overview,"Kilrogg's |cFF2959D3|Hspell:182428|h[Visions of Death]|h|r transports players to the moment of their doom. The more demons a player kills during this phase, the greater stacks of |cFF2959D3|Hspell:180718|h[Undying Resolve]|h|r they receive. Failure to send anyone to this phase results in heavy raid damage. 

As the fight progresses, Kilrogg calls for his clansmen to drink the fel blood within the chamber. If these Salivating Bloodthirsters reach the blood, they transform into Hulking Terrors."
11255,Damage Dealers,"$bullet;Blood Globules that reach Kilrogg Deadeye damage the raid.
$bullet;Fel Blood Globules that reach Kilrogg damage the raid and heal Kilrogg.
$bullet;Enter |cFF2959D3|Hspell:182428|h[Visions of Death]|h|r and kill demons to gain stacks of |cFF2959D3|Hspell:180718|h[Undying Resolve]|h|r.
$bullet;Kill Salivating Bloodthirsters before they reach the blood pool.
$bullet;Interrupt the Hulking Terror's |cFF2959D3|Hspell:183917|h[Rending Howl]|h|r."
11256,Healers,"$bullet;Heal players affected by |cFF2959D3|Hspell:180372|h[Heart Seeker]|h|r to keep them alive.
$bullet;|cFF2959D3|Hspell:180224|h[Death Throes]|h|r pulses damage to the raid.
$bullet;Enter |cFF2959D3|Hspell:182428|h[Visions of Death]|h|r and heal allies. Each demon killed grants stacks of |cFF2959D3|Hspell:185563|h[Undying Salvation]|h|r."
11257,Tanks,"$bullet;Prevent Hulking Terrors from dying next to allies.
$bullet;Take turns tanking Hulking Terrors to control your level of |cFF2959D3|Hspell:182159|h[Fel Corruption]|h|r and avoid losing control to |cFF2959D3|Hspell:180313|h[Demonic Possession]|h|r.
$bullet;Use Active Mitigation defensive abilities to counter |cFF2959D3|Hspell:180199|h[Shred]|h|r or else suffer from |cFF2959D3|Hspell:180200|h[Shredded Armor]|h|r."
11258,Kilrogg Deadeye,
11259,Shred,
11260,Section 7,"$[!16
In Mythic difficulty, as the fight progresses Kilrogg picks multiple targets for Heart Seeker. Also, the Heart Seeker debuff will last the duration of the encounter.$]"
11261,Blood Globule,Summoned next to a player affected by Heart Seeker. Immediately begins making its way towards Kilrogg.
11262,Section 12,
11263,Fel Blood Globule,Summoned next to a player affected by Heart Seeker who is covered in Fel Blood. Immediately begins making its way towards Kilrogg.
11264,Section 8,"$[!16
In Mythic difficulty, Death Throes inflicts Fel Corruption onto the raid.$]"
11265,Section 9,
11266,Salivating Bloodthirster,Immediately starts running for the blood pool when summoned.
11267,Section 14,
11268,Section 26,
11269,Hulking Terror,Salivating Bloodthirsters transform into these terrors if they reach the blood pool.
11270,Section 16,
11271,Section 17,
11272,Section 20,
11273,Section 18,"$[!16
In Mythic difficulty, Fel Rupture leaves behind a Fel Puddle. Fel Puddles that have not been removed summon Fel Blood Globules during Death Throes.$]"
11274,Hellblaze Imp,"The footsoldier of the Burning Legion, encountered during |cFF2959D3|Hspell:182428|h[Visions of Death]|h|r."
11275,Section 21,
11276,Hellblaze Fiend,"The brute of the Burning Legion, encountered during |cFF2959D3|Hspell:182428|h[Visions of Death]|h|r."
11277,Section 23,
11278,Hellblaze Mistress,"The elite of the Burning Legion, encountered during |cFF2959D3|Hspell:182428|h[Visions of Death]|h|r."
11279,Section 25,
11280,Fel Corruption,"Throughout the fight, Fel Corruption is inflicted onto the raid. As Fel Corruption increases on a target, it inflicts increasing damage over time.

At 100 Fel Corruption, the target is dominated by the Burning Legion."
11281,Section 13,
11283,Section 20,
11284,Section 20,
11285,Section 21,
11286,Section 22,
11287,Section 17,
11374,Section 23,
11375,Trapped Souls,
11376,Shadowy Construct,The twisted remains of a soul walk towards the center of Gorefiend's stomach before being released and empowered.
11377,Tortured Essence,A draenei spirit bound to Gorefiend's will. The spirit moves towards the center of the stomach where it will be fully corrupted and released. Healing the spirit to full releases it from Gorefiend's grasp.
11378,Enraged Spirit,
11379,Section 1,
11382,Section 4,
11383,Section 5,
11386,Artillery,
11387,Section 9,
11389,Overview,"Before reaching full power, the Iron Reaver fights enemies on the ground, leveraging her size and technological superiority against opponents. Upon reaching full power, the Iron Reaver takes to the skies. While flying, the Reaver takes $182055s2% reduced damage and has access to an arsenal of new devastating abilities."
11390,Tanks,"$bullet;When the Iron Reaver marks you for |cFF2959D3|Hspell:182108|h[Artillery]|h|r, move away from other raid members before the Reaver finishes locking on."
11391,Healers,"$bullet;|cFF2959D3|Hspell:182022|h[Pounding]|h|r inflicts high raid-wide damage.
$bullet;Spread out to reduce the chance that |cFF2959D3|Hspell:182001|h[Unstable Orb]|h|r damages multiple allies."
11392,Damage Dealers,"$bullet;Spread out to reduce the chance that |cFF2959D3|Hspell:182001|h[Unstable Orb]|h|r damages multiple allies.
$bullet;When the Iron Reaver marks you for |cFF2959D3|Hspell:182108|h[Artillery]|h|r, move away from other raid members before the Reaver finishes locking on."
11393,Ground Operation,"Before reaching full power, the Iron Reaver fights enemies on the ground, leveraging her size and technological superiority against opponents."
11394,Air Operation,"Upon reaching full power, the Iron Reaver takes to the skies. While flying, the Reaver takes $182055s2% reduced damage and has access to an arsenal of new devastating abilities."
11395,Section 16,
11398,Puncture Wound,
11399,Puncture Wound,
11400,Puncture Wound,
11401,Overview,"Players attempt to turn the massive Hellfire Cannons in the Citadel's courtyard against the mighty gate of the Citadel, while fending off Siegemaster Mar'tak and her militarized force.

Throughout the encounter, waves of enemies rush at the players, periodically accompanied by huge siege weapons that seek to destroy the Cannons and the players defending them. Destroying these siege weapons allows players to salvage Felfire Munitions, which may be brought to the Hellfire Cannon, allowing it to  continuously fire Hellfire Rounds at the Reinforced Hellfire Door.

Once players successfully breach the Reinforced Hellfire Door, Siegemaster Mar'tak's forces retreat into the Citadel."
11402,Tanks,"$bullet;Be ready to grab the attention of any Hellfire Reinforcements.
$bullet;|cFF2959D3|Hspell:184243|h[Slam]|h|r stacks increase Physical damage taken, so be wary when tanking multiple enemies and a Hulking Berserker."
11403,Healers,$bullet;|cFF2959D3|Hspell:183449|h[Felfire Volley]|h|r inflicts high raid-wide damage after |cFF2959D3|Hspell:181968|h[Metamorphosis]|h|r.
11404,Damage Dealers,"$bullet;Quickly defeat Gorebound Felcasters after they use |cFF2959D3|Hspell:181968|h[Metamorphosis]|h|r to become a Gorebound Terror.
$bullet;Defeat Fel-Infused Siege Weapons to keep the Hellfire Cannons alive."
11406,Hellfire Reinforcements,
11407,Iron Dragoon,This hardened melee enemy wields a sharpened polearm and is at the beck and call of Siegemaster Mar'tak.
11411,Gorebound Felcaster,
11412,Section 13,
11413,Section 14,
11414,Section 15,
11415,Gorebound Terror,
11417,Section 18,
11424,Felfire Munitions,"Felfire-Imbued Siege Vehicles carry Felfire Munitions into battle. Upon death, the Felfire Munitions drop to the ground, allowing a player to pick it up. The Felfire Munitions despawn if not picked up within $180264D.

Upon being picked up, a player gains Haste, increasing movement speed by $184913s2% for $184913D. While being carried, the Felfire Munitions inflicts $186016s1 Fire damage every second."
11425,Hulking Berserker,
11426,Section 26,
11427,Section 27,
11428,Felfire-Imbued Siege Vehicles,
11429,Felfire Demolisher,
11435,Felfire Artillery,
11436,Section 38,
11437,Felfire Flamebelcher,
11439,Felfire Crusher,
11440,Section 40,
11442,Overview,"Socrethar begins the encounter occupying the Soulbound Construct.

When players deplete the Soulbound Construct's health, Socrethar's spirit will be ejected from the construct, and a player can take control of it. The Sargerei then stream into the chamber, and together with Socrethar attempt to regain control of the Construct. When the Construct's health is depleted when controlled by a player, they are ejected and Socrethar regains control, beginning the cycle again.

Players must destroy Socrethar's soul to complete the encounter."
11443,Damage Dealers,"$bullet;Raid members must take turns absorbing |cFF2959D3|Hspell:182635|h[Shattered Defenses]|h|r to keep the tanks from suffering fatal damage.
$bullet;Interrupt |cFF2959D3|Hspell:183331|h[Exert Dominance]|h|r to prolong the period of time that your tank is able to control the Construct.
$bullet;Do not let Haunting Souls reach their targets."
11444,Healers,"$bullet;Raid members must take turns absorbing |cFF2959D3|Hspell:182635|h[Shattered Defenses]|h|r to keep the tanks from suffering fatal damage.
$bullet;|cFF2959D3|Hspell:183329|h[Apocalypse]|h|r deals heavy damage to the raid.
$bullet;Run away from Haunting Souls who are fixated on you."
11445,Tanks,"$bullet;Alternate who is tanking the Soulbound Construct to prevent |cFF2959D3|Hspell:182038|h[Shattered Defenses]|h|r from stacking too high.
$bullet;One tank should take control of the Construct when Socrethar is ejected.
$bullet;When controlling the construct, avoid |cFF2959D3|Hspell:188500|h[Soul Dispersion]|h|r by staying away from Haunting Souls."
11446,Soulbound Construct,
11447,Section 9,"$[!16

On Mythic Difficulty, inflicts 6 stacks of Shattered Defenses.$]"
11448,Section 6,
11449,Section 7,
11450,Section 8,
11451,Socrethar and the Sargerei,"Once Socrethar is ejected from the construct, players can take control of it. The Sargerei join the battle in attempt to wrest control of the Construct back from the raid."
11452,Socrethar,
11453,Section 14,
11454,Section 12,
11455,Section 13,
11456,Sargerei Dominator,
11457,Section 16,
11458,Section 17,
11459,Sargerei Shadowcaller,
11460,Section 19,
11461,Section 20,
11462,Haunting Soul,
11463,Section 22,
11464,Section 23,
11479,Section 29,
11480,Encounter-Wide Mechanics,These mechanics are seen throughout the encounter:
11481,Section 28,
11482,Section 28,
11484,Siegemaster Mar'tak,
11485,Section 43,
11486,Section 44,
11488,Blademaster Jubei'thos,
11489,Dia Darkwhisper,
11490,Gurtogg Bloodboil,
11491,Section 4,
11492,Section 5,
11493,Section 6,
11495,Section 16,
11496,Section 14,
11497,Section 17,
11498,Section 8,"$[!16

In Mythic difficulty, Mark of the Necromancer bounces to 3 targets, instead of 2. $]"
11499,Section 15,
11500,Section 18,
11501,Section 9,
11502,Section 10,
11503,Section 11,
11504,Section 12,
11505,Section 13,
11506,Overview,"Shadow-Lord Iskar weaves illusions that deceive the raid, but the nearby Eye of Anzu provides the key to seeing through the twisted arakkoa's deception. Players may pass the Eye around among raid members to counter specific attacks of Iskar and his minions. 

Periodically, Iskar takes to the skies and channels powerful beams of fel energy, as his minions swoop down to attack on the ground."
11507,Damage Dealers,"$bullet;Pass the |cFF2959D3|Hspell:179202|h[Eye of Anzu]|h|r to players affected by |cFF2959D3|Hspell:181956|h[Phantasmal Winds]|h|r or |cFF2959D3|Hspell:182323|h[Phantasmal Wounds]|h|r.
$bullet;Move away from other players if targeted by |cFF2959D3|Hspell:182173|h[Fel Chakram]|h|r.
$bullet;Hold the |cFF2959D3|Hspell:179202|h[Eye of Anzu]|h|r to be able to interrupt Shadowfel Warden's |cFF2959D3|Hspell:181827|h[Fel Conduit]|h|r."
11508,Healers,"$bullet;Pass the |cFF2959D3|Hspell:179202|h[Eye of Anzu]|h|r to players affected by |cFF2959D3|Hspell:181956|h[Phantasmal Winds]|h|r.
$bullet;Focus healing on allies affected by |cFF2959D3|Hspell:182323|h[Phantasmal Wounds]|h|r or pass the |cFF2959D3|Hspell:179202|h[Eye of Anzu]|h|r to them.
$bullet;Move away from other players if targeted by |cFF2959D3|Hspell:182173|h[Fel Chakram]|h|r.
$bullet;Hold the |cFF2959D3|Hspell:179202|h[Eye of Anzu]|h|r to be able to dispel the |cFF2959D3|Hspell:181753|h[Fel Bomb]|h|r during |cFF2959D3|Hspell:179218|h[Phantasmal Obliteration]|h|r."
11509,Tanks,"$bullet;Pass the |cFF2959D3|Hspell:179202|h[Eye of Anzu]|h|r to players affected by |cFF2959D3|Hspell:181956|h[Phantasmal Winds]|h|r or |cFF2959D3|Hspell:182323|h[Phantasmal Wounds]|h|r.
$bullet;Move away from other players if targeted by |cFF2959D3|Hspell:182173|h[Fel Chakram]|h|r.
$bullet;Use a defensive cooldown or be in possession of the |cFF2959D3|Hspell:179202|h[Eye of Anzu]|h|r to survive |cFF2959D3|Hspell:181824|h[Phantasmal Corruption]|h|r."
11510,Shadow-Lord Iskar,
11511,Section 11,
11512,Section 23,
11513,Section 7,
11515,Section 8,
11516,Section 23,
11517,Fel Raven,
11524,Shadowfel Warden,
11531,Corrupted Priest of Terokk,
11532,Illusionary Outcast,
11533,Section 18,
11534,His Final Hour,"Upon reaching 30% health remaining, Jubei'thos will begin to cast Wicked Strike. After his death the images of Jubei'thos will continue to haunt players, striking them from the shadows."
11536,Her Final Hour,"Upon reaching 30% health remaining, Dia Darkwhisper is overcome by darkness, applying Mark of the Necromancer to half of all remaining foes. In her madness, she will no longer use Reap."
11537,His Final Hour,"Upon reaching 30% health remaining, Gurtogg begins to cast Tainted Blood until he is defeated."
11538,Overview,Each member of the council has a special attack that they will only use below 30% health. These effects will persist until the end of the encounter.
11539,Tanks,"$bullet;When Dia Darkwhisper uses |cFF2959D3|Hspell:184657|h[Nightmare Visage]|h|r, use defensive abilities to reduce the damage you take. 
$bullet;Keep Dia Darkwhisper away from her allies, else they will gain the effects of |cFF2959D3|Hspell:184473|h[Void Haze]|h|r.
$bullet;Move away from the impact point of Gurtogg Bloodboil's |cFF2959D3|Hspell:184366|h[Demolishing Leap]|h|r to minimize damage taken."
11540,Healers,"$bullet;Dispel Dia Darkwhisper's |cFF2959D3|Hspell:184450|h[Mark of the Necromancer]|h|r before its damage becomes lethal, but do not dispel prematurely as doing so causes the effect transfers to 2 additional targets when dispelled.
$bullet;Use defensive abilities to maximize your chance of survival if Gurtogg Bloodboil targets you with his |cFF2959D3|Hspell:184358|h[Fel Rage]|h|r.
$bullet;Move away from the impact point of Gurtogg Bloodboil's |cFF2959D3|Hspell:184366|h[Demolishing Leap]|h|r to minimize damage taken."
11541,Damage Dealers,"$bullet;If you are afflicted with |cFF2959D3|Hspell:184450|h[Mark of the Necromancer]|h|r when Dia Darkwhisper casts |cFF2959D3|Hspell:184652|h[Reap]|h|r, the ground beneath your position will burn for the remainder of the encounter, so position yourself carefully.
$bullet;Use defensive abilities to maximize your chance of survival if Gurtogg Bloodboil targets you with his |cFF2959D3|Hspell:184358|h[Fel Rage]|h|r.
$bullet;Move away from the impact point of Gurtogg Bloodboil's |cFF2959D3|Hspell:184366|h[Demolishing Leap]|h|r to minimize damage taken."
11542,Section 26,
11543,Section 27,"$[!16
In Mythic difficulty Gorefiend's Corruption is only removed when a player collapses an Unstable Soul.$]"
11544,Devourer of Souls,"Players who are killed are not slain outright. Instead, Gorefiend devours their souls, placing them in his stomach where they will be Digested. Players who have recently been consumed are afflicted with Gorefiend's Corruption and if they die again their soul is lost."
11545,Section 29,"$[!16
In Mythic difficulty Gorefiend's Corruption is only removed when a player collapses an Unstable Soul.$]"
11546,Section 30,
11547,Corrupted Soul,"When a player is slain a fragment of their soul is left behind and deeply corrupted by Gorefiend. The result is a being of pure malice, bent on consuming the living.  Only when this fragment is destroyed will the player who was consumed be freed from Gorefiend's stomach."
11548,Section 32,
11561,Section 32,
11562,Section 19,
11563,Section 18,
11564,Section 20,
11565,Section 21,
11566,Section 21,
11567,Section 21,
11568,Section 33,
11569,Section 34,
11570,Section 35,
11571,Section 36,
11572,Section 37,
11573,Overview,"Archimonde assaults players with the might of the Burning Legion, gaining new abilities each time his health is reduced by 15%, eventually summoning |cFF2959D3|Hspell:182225|h[Rain of Chaos]|h|r to destroy Draenor.

When a player is launched into the air by |cFF2959D3|Hspell:183817|h[Shadowfel Burst]|h|r, their allies must catch them to avoid fatal damage.

As Archimonde |cFF2959D3|Hspell:185590|h[Desecrates]|h|r the land, players must protect themselves with the |cFF2959D3|Hspell:183943|h[Light of the Naaru]|h|r.

When Archimonde reaches 40% health remaining, he begins to cast |cFF2959D3|Hspell:186961|h[Nether Banish]|h|r, sending players to the Twisting Nether."
11574,Damage Dealers,"$bullet;Destroy Doomfire Spirits quickly before they create too much |cFF2959D3|Hspell:182826|h[Doomfire]|h|r.
$bullet;|cFF2959D3|Hspell:184265|h[Wrought Chaos]|h|r inflicts heavy damage if aimed towards other players.
$bullet;|cFF2959D3|Hspell:184931|h[Shackled Torment]|h|r inflicts lethal raidwide damage if mutliple shackles are broken at once.
$bullet;Infernal Doombringers will begin to cast |cFF2959D3|Hspell:187078|h[Hellfire]|h|r if not killed quickly."
11575,Healers,"$bullet;|cFF2959D3|Hspell:185590|h[Desecrate]|h|r inflicts increasing raidwide damage to players without |cFF2959D3|Hspell:183943|h[Light of the Naaru]|h|r.
$bullet;|cFF2959D3|Hspell:183864|h[Shadow Blast]|h|r significantly increases Shadow damage taken by |cFF2959D3|Hspell:183828|h[Death Brand]|h|r.
$bullet;|cFF2959D3|Hspell:184931|h[Shackled Torment]|h|r inflicts heavy raidwide damage each time it is broken."
11576,Tanks,"$bullet;|cFF2959D3|Hspell:183828|h[Death Brand]|h|r inflicts massive initial damage and periodic damage until Hellfire Deathcallers are killed.
$bullet;|cFF2959D3|Hspell:186961|h[Nether Banish]|h|r sends tanks to the Twisting Nether along with any other players within 10 yards."
11577,Stage One: The Defiler,
11578,Section 6,"$[!16 

In Mythic difficulty, Doomfire is consumed when a player comes into contact with it. This effect stacks up to $183221s1 times. When the Doomfire debuff expires, a new patch of Doomfire is created at that player's location.$]"
11579,Section 7,"$[!16 

In Mythic difficulty, Allure of Flames inflicts $183591s1 Fire damage to all players for each Doomfire that is moved.$]"
11580,Section 8,"$[!16 

In Mythic difficulty, Shadowfel Burst targets 3 players.$]"
11581,Section 9,
11582,Hellfire Deathcaller,
11583,Section 11,
11585,Demonic Art: Desecration,"When Archimonde reaches 85% health remaining, he summons corruption that erupts from the ground."
11586,Section 14,
11588,Yrel,
11589,Section 17,
11590,Stage Two: Hand of the Legion,"When Archimonde reaches 70% health remaining, he calls on new powers to destroy his enemies."
11591,Section 25,"$[!16 

In Mythic difficulty, the range of Unleashed Torment is limited to $185008A1 yards.$]"
11592,Section 26,"$[!16 

In Mythic difficulty, all players become the target of either Wrought Chaos or Focused Chaos when Archimonde casts Wrought Chaos.$]"
11594,Section 21,
11595,Hellfire Deathcaller,
11596,Section 23,
11598,Demonic Art: Vanguard of the Legion,"When Archimonde reaches 55% health remaining, he summons the vanguard of the Burning Legion."
11599,Stage Three: The Twisting Nether,"When Archimonde reaches 40% health remaining, he calls on the Twisting Nether to destroy his enemies."
11600,Demonic Art: Rain of Chaos,"When Archimonde reaches 25% health remaining, he summons a massive meteor to destroy Draenor."
11603,Felborne Overfiend,
11604,[PH] Ability,
11607,Dreadstalker,
11608,Consume Magic,
11615,Demonic Feedback,
11616,The Nether,
11617,Rain of Chaos,
11618,Infernal Doombringer,Periodically the meteor impacts from Rain of Chaos will reform as Infernal Doombringers.
11619,Eternal Flames,
11620,Hellfire,
11622,Nether Portal,
11625,Shadow Storm,
11627,Section 33,
11630,Section 50,"$[!16 

In Mythic difficulty, Allure of Flames inflicts $183591s1 Fire damage to all players for each Doomfire that is moved.$]"
11634,Section 51,"$[!16 

In Mythic difficulty, all players become the target of either Wrought Chaos or Focused Chaos when Archimonde casts Wrought Chaos.$]"
11647,Section 17,
11648,Section 16,
11649,Section 18,
11650,Section 14,
11652,Section 16,
11653,Section 19,
11654,Undying Salvation,
11655,Phantasmal Radiance,
11656,Section 23,
11657,Section 24,
11658,Section 52,
11659,Section 53,"$[!16 

In Mythic difficulty, the range of Unleashed Torment is limited to $185008A1 yards.$]"
11661,Section 34,
11662,Section 35,
11663,Section 36,
11676,Section 19,
11677,Section 20,
11678,Section 21,
11679,Section 22,
11680,Overview,"Two portals dominate Xhul'horac's room: one powered by void, and one by the Legion's fel magic. Xhul'horac activates the Fel portal first, granting him fel abilities and summoning first Imps and then Vanguard Akkelion. 

When Akkelion dies, Xhul'horac activates the void portal, granting him void abilities and summoning Unstable Voidfiends and then Omnus.

Once Omnus is defeated, Xhul'horac gains the energy of both fel and void, rapidly switching between elements. Once he reaches 20% health, he completely absorbs the power of both portals and must be quickly defeated."
11681,Damage Dealers,"$bullet;Interrupt or intercept |cFF2959D3|Hspell:186532|h[Fel Orb]|h|r when you are not |cFF2959D3|Hspell:186135|h[Voidtouched]|h|r to avoid spreading Chaotic Felblaze.
$bullet;When affected by |cFF2959D3|Hspell:186490|h[Chains of Fel]|h|r, move away from other chained players.
$bullet;Close |cFF2959D3|Hspell:186546|h[Black Hole]|h|r by moving into its center, alongside other players to split the damage from |cFF2959D3|Hspell:186549|h[Singularity]|h|r."
11682,Healers,"$bullet;When affected by |cFF2959D3|Hspell:186490|h[Chains of Fel]|h|r, move away from other chained players.
$bullet;Close |cFF2959D3|Hspell:186546|h[Black Hole]|h|r by moving into its center, alongside other players to split the damage from |cFF2959D3|Hspell:186549|h[Singularity]|h|r.
$bullet;|cFF2959D3|Hspell:187209|h[Overwhelming Chaos]|h|r will inflict heavy damage to the raid."
11683,Tanks,"$bullet;When Xhul'horac gains |cFF2959D3|Hspell:189047|h[Shadowfel Phasing]|h|r, alternate which tank is hit by |cFF2959D3|Hspell:186292|h[Void Strike]|h|r and |cFF2959D3|Hspell:186271|h[Fel Strike]|h|r to avoid |cFF2959D3|Hspell:185656|h[Shadowfel Annihilation]|h|r.
$bullet;|cFF2959D3|Hspell:186783|h[Withering Gaze]|h|r and |cFF2959D3|Hspell:186453|h[Felblaze Flurry]|h|r deal increasing damage each time they hit, and will drastically increase the damage of |cFF2959D3|Hspell:186292|h[Void Strike]|h|r and |cFF2959D3|Hspell:186271|h[Fel Strike]|h|r.
$bullet;Falling off of Xhul'horac's platform is deadly! Beware the knockback from |cFF2959D3|Hspell:186292|h[Void Strike]|h|r and |cFF2959D3|Hspell:186271|h[Fel Strike]|h|r."
11684,Section 7,
11685,Section 5,
11686,Section 6,
11687,Section 8,
11688,Omnus,
11689,Section 10,
11690,Section 14,
11691,Vanguard Akkelion,
11692,Section 12,
11693,Section 13,
11694,Wild Pyromaniac,
11695,Section 16,
11696,Contracted Engineer,
11697,Section 36,
11698,Section 37,
11699,Section 35,
11700,Section 17,
11701,Unleashed Energies,"Throughout the encounter, Xhul'horac focuses the wild energy of fel and void in his summoning chamber, letting them smolder out of control - and mixing them with deadly results."
11702,Section 19,
11703,Section 20,
11704,Section 21,
11705,Section 22,
11706,Section 23,
11707,Section 24,
11708,Section 25,
11710,Section 38,
11711,Section 39,
11712,Felfire Transporter,
11713,Section 41,
11714,Unstable Voidfiend,
11715,Section 27,"$[!16

On Mythic Difficulty, each cast of Volatile Voidstep will reduce the cast time of subsequent casts.$]"
11716,Section 51,"$[!16 

In Mythic difficulty, the range of Unleashed Torment is limited to $185008A1 yards.$]"
11717,Section 52,"$[!16 

In Mythic difficulty, the range of Unleashed Torment is limited to $185008A1 yards.$]"
11719,Living Shadow,"Living Shadow periodically spawn from the Nether Portal and attack players. 

Each time a Living Shadow spawns from a portal, the rate at which they spawn is increased."
11720,Section 53,
11721,Section 30,
11722,Section 35,
11736,Enrage,
11737,Section 19,
11738,Stage One: The Legion's Flame,"Xhul'horac, tainted with Fel energy, summons forth servants of the Legion and attacks with Fel magic."
11739,Stage Two: Grasp of the Void,"Xhul'horac opens the Void portal, summoning forth fellow Void creatures and drawing strength from the power of the Void."
11740,Stage Four: Tearing Apart,"Xhul'horac completely absorbs the energy of both the Void and Fel portals, preventing any new creatures from coming through them, and rapidly destabilizing."
11741,Section 35,
11742,Section 31,
11743,Section 32,
11744,Section 33,
11745,Section 34,
11746,Section 37,
11748,Overview,"At 66% and 33% health remaining, Supreme Lord Kazzak summons Twisted Reflections from players. Any Twisted Reflections that reach Supreme Lord Kazzak heal him significantly."
11749,Damage Dealers,"$bullet;Stay away from allies when afflicted with |cFF2959D3|Hspell:187667|h[Mark of Kazzak]|h|r!
$bullet;Avoid being in front of Supreme Lord Kazzak to avoid damage from |cFF2959D3|Hspell:187664|h[Fel Breath]|h|r.
$bullet;When Supreme Lord Kazzak reaches 66% and 33% health, kill the |cFF2959D3|Hspell:187702|h[Twisted Reflections]|h|r."
11750,Healers,"$bullet;Stay away from allies when afflicted with |cFF2959D3|Hspell:187667|h[Mark of Kazzak]|h|r!
$bullet;Avoid being in front of Supreme Lord Kazzak to avoid damage from |cFF2959D3|Hspell:187664|h[Fel Breath]|h|r.
$bullet;Heal allies to full that are afflicted with |cFF2959D3|Hspell:187466|h[Supreme Doom]|h|r."
11751,Tanks,"$bullet;Facing Supreme Lord Kazzak away from your allies to avoid damage from |cFF2959D3|Hspell:187664|h[Fel Breath]|h|r.
$bullet;Stay away from allies when afflicted with |cFF2959D3|Hspell:187667|h[Mark of Kazzak]|h|r!
$bullet;When Supreme Lord Kazzak reaches 66% and 33% health, kill the |cFF2959D3|Hspell:187702|h[Twisted Reflections]|h|r."
11752,Section 6,
11753,Section 6,
11754,Section 7,
11755,Section 8,
11757,Section 27,
11758,Section 26,
11759,Section 27,
11761,Shadowed Netherwalker,
11762,Section 54,
11763,Section 23,
11764,Section 24,
11777,Section 31,
11778,Voracious Soulstalker,"The results of Sagerei's demon-twisted experiments on souls, Voracious Soulstalkers periodically join the battle."
11779,Section 26,
11782,Section 29,
11804,Blood Splatter,
11805,Section 29,
11806,Section 30,
11807,Stage Three: The Shadowfel Amalgamation,"Overwhelmed by channeling a combination of Void and Fel energies, Xhul'horac's form begins rapidly shifting between one dominated by Fel and Void magic."
11808,Section 37,
11809,Explosive Doom Spike,
11810,Phase Explosion,
11812,Curse of the Legion,
11813,Doom Lord,Doom Lords are created when the |cFF2959D3|Hspell:181275|h[Curse of the Legion]|h|r expires or is dispelled.
11814,Doom Spike,
11815,Explosive Doom Spike,
11816,Section 72,
11817,Section 73,
11818,Phase Explosion,
11821,Section 78,
11822,Fel Imp,Fel Imps are created at the location of the |cFF2959D3|Hspell:181255|h[Fel Imp-losion]|h|r's impact.
11823,Section 75,
11824,Section 76,
11825,Section 77,
11827,Wrath of Gul'dan,
11828,Section 80,
11829,Fel Imp,Fel Imps are created at the location of the |cFF2959D3|Hspell:181255|h[Fel Imp-losion]|h|r's impact.
11830,Section 82,
11832,Section 84,
11833,Section 79,
11834,Section 20,
11835,Section 21,
11836,Section 22,
11837,Residual Energy,Residual Energy is left behind whenever a player leaves the Shadow Realm and will continually fire either Wakes of Destruction or Rings of Destruction.
11838,Destructive Forces,Some of the Fel Lord's abilities will trigger an explosion if they strike a player who has Latent Energy.
11839,Fissures and Crystals,"Zakuun creates Rumbling Fissures on the ground nearby. If a Rumbling Fissure is not absorbed by standing within it, it forms a Fel Crystal."
11840,Disarmed,"Zakuun hurls his axe at the target location, where it lodges in the floor and damages the raid with Fel Explosions.

While Disarmed, Zakuun attacks with both fists, is Heavy Handed, and gains $179667s1% haste."
11841,Section 33,
11842,Section 29,
11843,Section 30,
11844,Section 30,
11845,Section 31,
11846,Hellfire Cannon,"Upon starting the encounter, players commandeer both Hellfire Cannons. Siegemaster Mar'tak's forces continually pour forth from Hellfire Citadel to prevent players from capitalizing on possession of these cannons.

Based on available Felfire Munition reserves, the Hellfire Cannon will continuously fire at the Reinforced Hellfire Door."
11847,Section 38,
11848,Section 38,
11912,Grand Corruptor U'rogg,
11913,Section 43,
11914,Section 45,
11915,Section 44,
11916,Grute,
11917,Section 46,
11918,Section 47,
11919,Section 48,
11920,Section 28,
11921,Void Star,
11922,Section 51,
11935,Section 51,
11936,Section 52,
11937,Section 53,
11938,Section 30,
11939,Stage Three: The Twisting Nether,"When Archimonde reaches 40% health remaining, he transcends. All of his enemies are drawn helplessly into the Twisting Nether, an endless, chaotic space from which few have ever returned..."
11940,Section 39,
11941,Section 42,
11942,Section 40,
11943,Section 41,
11959,Section 25,
11960,Section 26,
11961,Section 39,
11962,Section 31,
11963,Section 30,
11964,Section 31,
11965,Section 25,
11966,Section 26,
11967,Section 27,
11968,Section 28,
11969,Section 86,
11970,Section 87,
11971,Section 84,
11972,Dread Infernal,Dread Infernals are created at the location of the |cFF2959D3|Hspell:181180|h[Inferno]|h|r's impact.
11973,Section 86,
11974,Section 87,
11975,Section 83,
11976,Section 87,
11989,Section 48,
11990,Section 32,
11992,Fury,
11993,Section 33,
12006,Section 5,
