ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang
666,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
667,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
668,Embers of Neltharion: Chapter 1,Speak with Ebyssian to venture into Zaralek Cavern.,Accept Quest,,
669,Embers of Neltharion: Chapter 4,Speak with Ebyssian to return to Zaralek Cavern.,Accept Quest,,
670,Fyrakk Assaults,Defeat Fyrakk's forces as he burns his way across the Dragon Isles.,Accept Quest,,
671,Embers of Neltharion: Chapter 6,Speak with Ebyssian to continue your journey in Zaralek Cavern.,,,
672,Tyr's Fall,Meet with Nozdormu in Tyrhold to restore Tyr's final memories.,,,
673,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
674,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
675,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
676,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
677,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
678,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
679,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
680,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
681,"Trading Post, New Stock",New activities and merchandise are available at the Trading Post.,Accept Quest,,
682,Fighting is Its Own Reward,Kemora in Valdrakken wants you to complete Heroic Dragonflight dungeons.,Accept Quest,,
683,Time Rift,"Assist the Bronze Dragonflight in fending off invaders from other timelines! Keep an eye on your map - Time Rifts appear periodically in Tyrhold Reservoir, east of Valdrakken.",Accept Quest,,
684,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
686,The Many Lives of Chromie,Alternate timeline Chromies have overrun Thaldrazus! Why have they come? Who is behind it all? Work with Chromie to solve this mystery before time is up!,,,
687,Eon's Fringe,Speak with Bartender Bob to assist in cleaning up the temporal mess in Eon's Fringe.,Accept Quest,,
688,Whelp Daycare,Something adorable is hatching at the Ruby Life Pools! Speak with Amella to help the Little Scales Daycare before they are overwhelmed.,Accept Quest,,
689,Soridormi Friendship,"Earn Soridormi's recognition by completing Time Rifts, Dawn of the Infinite, and helping the denizens of Eon's Fringe. Then report back to Soridormi in Tyrhold Reservoir, east of Valdrakken.",,,
690,The Coalition of Flames,Discover what Fyrakk is plotting in Lunedane.,Accept Quest,,
691,Forsaken Heritage Armor,"An old enemy has resurfaced and threatens the recently reclaimed Ruins of Lordaeron, forcing the Desolate Council and you to defend the Forsaken home.",Accept Quest,,
692,Seeing Red,Prophet Velen has had a perplexing vision of his people's future. Join him on Argus to untangle its meaning.,,Man'ari Eredar Customization Options for Draenei,
693,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
694,Reforging the Tyr's Guard,"Work with Travard to reform the Tyr's Guard, then join the Tyr's Guard in finding the location of the disc of Tyr.",Accept Quest,,
695,Night Elf Heritage Armor,A contingent of Sentinels have gone missing in Felwood. Work with the Wardens to determine their fate and reclaim ancient lands.,Accept Quest,,
696,Sparks of Life:  Emerald Dream,Jephyrn in Valdrakken has challenged you to defeat your foes in PvP combat.,Accept Quest,,
697,Dawn of the Infinite: Galakrond's Fall,The infinite dragonflight has invaded the Bronze Temple. Help Nozdormu and Chromie take back the Timeways!,Join Group,,
698,Dawn of the Infinite: Murozond's Rise,Murozond rises. Race against time with Chromie to correct the past!,Join Group,,
699,"Amirdrassil, the Dream's Hope","Azeroth's champions must come together to face Fyrakk and his molten allies, before he devours the heart of Amirdrassil and takes its power for his own.",Find Group,,
704,Emerald Dream Campaign: Chapter 6,Speak with Tyrande to witness the blossoming of Amirdrassil.,Accept Quest,,
705,Raid Finder: Molten Incursion,"Larodar, twisted by flame, seeks to bathe the Emerald Dream in fire. If successful, everything will be reduced to ash.",Join Raid,,
706,Raid Finder: Fate of Amirdrassil,Fyrakk has reached the heart of Amirdrassil and threatens to consume its power for his own.,Join Raid,,
707,Raid Finder: The Viridian Weave,"Nymue weaves the mesmerizing patterns of the Emerald Dream. Our intrusion has distrupted the weave, and we will be dealt with.",Join Raid,,
708,Raid Finder: Incarnate's Wake,"Smolderon has forced his way into the Emerald Dream. If left unchecked, his forces will burn everything in their path.",Join Raid,,
709,Battleground Blitz,Embark on a mission alongside members of both factions to prove yourself in battlegrounds. Matches are sped up!,Start Quest,,
710,Guardians of the Dream: Chapter 1,Speak with Merithra to venture into the Emerald Dream.,Accept Quest,,
711,Tyr's Return,"Go with the Tyr's Guard to the Nighthold to recover the Disc of Tyr, and return it to Nozdormu to restore the titan keeper to function.",Accept Quest,,
712,Guardians of the Dream: Chapter 4,The Emerald Dream remains under attack by Fyrakk and his army. Regroup with Merithra and Ysera in Amirdrassil.,,,
713,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
714,Aiding the Accord,"Earn renown among the factions of the Dragon Isles, and you shall be rewarded.",Accept Quest,,
715,Misfit Dragons,Join Wrathion and Vyranoth as they recruit additional dragonflights to the defense of the world tree.,,,
716,Aiding the Accord,"Choose how you will aid the factions of the Dragon Isles, and you shall be rewarded.",Choose a Quest,,
717,Gilneas Reclamation,The Alliance has been called to aid Genn Greymane in reclaiming Gilneas and returning the kingdom to his people.,Accept Quest,,
718,Gilneas Reclamation,Lilian Voss and Calia Menethil have requested the aid of Horde champions for a secret mission in the heart of Gilneas.,Accept Quest,,
719,The Crown Chemical Co.,Apothecary Hummel and his cronies have been cooking up a batch of poisonous perfumes! Group up and take them out.,Find Group,,
720,Draenei Heritage Armor,An ancient celebration has been revived to celebrate a new era for the draenei. Romuul has left a parcel at the Stormwind Embassy asking for your help.,Accept Quest,,
721,Darkspear Troll Heritage Armor,The Darkspear's connection with their loa is tenuous. Bwonsamdi has arrived in the Echo Isles to make a request of the trolls.,Accept Quest,,
722,The Big Dig: Traitor's Rest,Get your hands dirty with other Archivists and discover the truth behind Traitor's Rest! Keep an eye on your map - The Big Dig appears periodically in the Azure Span.,Accept Quest,,
723,The Archives Needs You!,Lead Archivist Eadweard Dalyngrigge needs someone like you to help the Azerothian Archives uncover the mysteries of the Dragon Isles!,Accept Quest,,
724,Superbloom,Keep Sprucecrown safe - and awake - as he rejuvenates the Emerald Dream! This public event happens periodically near the base of Amirdrassil.,Accept Quest,,
725,Dreamsurge,Aid the druids of Azeroth as they deal with an explosion of dream energy across the Dragon Isles!,Accept Quest,,
726,A Worthy Ally: Dream Wardens,Build your renown by strengthening your bond with the Dream Wardens of the Emerald Dream.,Accept Quest,,
727,A Worthy Ally: Loamm Niffen,Build your renown by strengthening your bond with the Niffen of Zaralek Cavern.,Accept Quest,,
728,Blooming Dreamseeds,Plant seeds across the Emerald Dream... then collect the treasures within their blooms!,Accept Quest,,
729,Noblegarden,"Grab your baskets, it's time for Noblegarden! Head to your capital city for more details.",,,
730,Noblegarden,"Grab your baskets, it's time for Noblegarden! Head to your capital city for more details.",,,
731,Hunt for the Harbinger,Meet with Khadgar and Alleria Windrunner in Dalaran to begin investigating the mysterious Harbinger and her Dark Heart.,Accept Quest,,
732,Nerub-ar Palace,The members of the conspiratorial Severed Threads launch their final gambit against Queen Ansurek's rule.,Find Group,,
736,Sins of the Sister,"A night elf seeks permission to bury her family at Amirdrassil, but her sister's traitorous past causes a dilemma. Speak to Malfurion Stormrage in Bel'ameth to learn more.",,,
737,The War Within,Journey to Silithus to investigate the mystery of the visions being experienced across Azeroth.,Accept Quest,,
738,The War Within,Journey to Silithus to investigate the mystery of the visions being experienced across Azeroth.,Accept Quest,,
739,Battleground Blitz,Embark on a mission alongside members of both factions to prove yourself in battlegrounds. Matches are sped up!,Join the Fight!,,
740,Deephaul Ravine,Participate in the battle in Deephaul Ravine.,Start Quest,,
741,The Severed Threads,"Journey to the Weaver's Lair and choose a Pact, unlocking various activities in Azj-Kahet.",,,
742,Spreading the Light,Light the sacred flames in Hallowfall to drive back the forces of darkness.,,,
743,Awakening the Machine,Travel to Gundargaz to assist the Machine Speakers with awakening the ancient machines.,,,
744,Theater Troupe,Travel to the Proscenium to help the earthen tell a story from their history.,Accept Quest,,
745,Heroic Dungeon,Run The War Within Heroic dungeons to test your skill and receive improved rewards!,Join Group,,
746,Random Dungeon,Run a random The War Within dungeon to upgrade your character's gear!,Join Group,,
747,Mythic Keystones,Use a Mythic Keystone at the entrance to a Mythic Dungeon for even greater challenges and rewards!,Find Group,,
748,Mythic Dungeon,Run a The War Within dungeon on Mythic difficulty to test your skill and receive improved rewards!,Find Group,,
749,Catalyst,Speak with Custodian Khubon in the Forgegrounds of Dornogal to unlock the Catalyst. The Catalyst can imbue your armor with additional power!,,,
750,Worldsoul Activities,"Speak to Faerin in Dornogal to choose how you wish to aid Khaz Algar, and you shall be rewarded.",,,
751,The Archives: The First Disk,"Speak to Brinthe in Dornogal to help repair the Archives, and you shall be rewarded.",Accept Quest,,
752,Delves: Nerubian Menace,"Speak to Brann Bronzebeard in Dornogal to venture into the delves of Khaz Algar, and you shall be rewarded.",Accept Quest,,
753,"Ara-Kara, City of Echoes","Biergoth in Dornogal has asked you to infiltrate the Ara-Kara, City of Echoes dungeon.",Accept Quest,Success will grant you renown with the War Within faction of your choice!,
754,Cinderbrew Meadery,Biergoth in Dornogal wants you to eliminate the Venture Co. in Cinderbrew Meadery dungeon.,Accept Quest,Success will grant you renown with the War Within faction of your choice!,
755,City of Threads,Biergoth in Dornogal wants you to eliminate the Vizier's enemies within the City of Threads dungeon.,Accept Quest,Success will grant you renown with the War Within faction of your choice!,
756,Darkflame Cleft,Biergoth in Dornogal wants you to confront The Darkness within the Darkflame Cleft dungeon.,Accept Quest,Success will grant you renown with the War Within faction of your choice!,
757,Priory of the Sacred Flame,Biergoth in Dornogal wants you to help Sister Etna Blayze at the Priory of the Sacred Flame dungeon.,Accept Quest,Success will grant you renown with the War Within faction of your choice!,
758,The Dawnbreaker,Biergoth in Dornogal wants you to secure the ceremony held in The Dawnbreaker dungeon.,Accept Quest,Success will grant you renown with the War Within faction of your choice!,
759,The Rookery,Biergoth in Dornogal wants you to end the skardyn threat in The Rookery dungeon.,Accept Quest,Success will grant you renown with the War Within faction of your choice!,
760,The Stonevault,Biergoth in Dornogal wants you to end the skardyn corruption in The Stonevault dungeon.,Accept Quest,Success will grant you renown with the War Within faction of your choice!,
761,The Archives: Seeking History,"Speak to Brinthe in Dornogal to help repair the Archives, and you shall be rewarded.",Accept Quest,,
762,Delves: Earthen Defense,"Speak to Brann Bronzebeard in Dornogal to venture into the delves of Khaz Algar, and you shall be rewarded.",Accept Quest,,
763,Delves: Khaz Algar Research,"Speak to Brann Bronzebeard in Dornogal to venture into the delves of Khaz Algar, and you shall be rewarded.",Accept Quest,,
764,Delves: Percussive Archaeology,"Speak to Brann Bronzebeard in Dornogal to venture into the delves of Khaz Algar, and you shall be rewarded.",Accept Quest,,
765,Delves: Empire-ical Exploration,"Speak to Brann Bronzebeard in Dornogal to venture into the delves of Khaz Algar, and you shall be rewarded.",Accept Quest,,
766,Delves: Lost and Found,"Speak to Brann Bronzebeard in Dornogal to venture into the delves of Khaz Algar, and you shall be rewarded.",Accept Quest,,
767,Delves: Trouble Up and Down Khaz Algar,"Speak to Brann Bronzebeard in Dornogal to venture into the delves of Khaz Algar, and you shall be rewarded.",Accept Quest,,
768,Delves: Breaking Tough to Loot Stuff,"Speak to Brann Bronzebeard in Dornogal to venture into the delves of Khaz Algar, and you shall be rewarded.",Accept Quest,,
769,Sparks of War: Isle of Dorn,Ruffious in Dornogal has challenged you to defeat your foes in PvP combat.,Accept Quest,,
770,Sparks of War: The Ringing Deeps,Ruffious in Dornogal has challenged you to defeat your foes in PvP combat.,Accept Quest,,
771,Sparks of War: Hallowfall,Ruffious in Dornogal has challenged you to defeat your foes in PvP combat.,Accept Quest,,
772,Sparks of War: Azj-Kahet,Ruffious in Dornogal has challenged you to defeat your foes in PvP combat.,Accept Quest,,
773,Something on the Horizon,Brann Bronzebeard calls for seasoned adventurers to join him in Dornogal as reinforcements approach Khaz Algar.,Accept Quest,Unlocks the option for this character to skip the level-up campaign and begin the max-level campaign.,
774,Raid Finder: The Skittering Battlements,Guardians both monstrous and noble guard the festering pits and hanging battlements surrounding Nerub-ar Palace.,Join Raid,,
775,Raid Finder: Secrets of Nerub-ar Palace,"Sikron leads the nerubian forces with tactical cunning and precision, dispatching any interlopers that would usurp the queen.",Join Raid,,
776,Raid Finder: A Queen's Fall,Queen Ansurek succumbs to her vicious paranoia and delves deeper into dark power to retain control of her empire.,Join Raid,,
