ID,Description_lang,Title_lang
4262,Attack the Primal Chitterspine Crusher.,Battle the Crusher
4263,Follow the Primal Chitterspine Crusher to its nest.,To the Nest!
4264,Slay the Primal Chitterspine Crusher in its nest.,Slay the Crusher
4265,Drive back the Snapdragon Dire Alpha.,We're Under Attack!
4266,Follow the Snapdragon Dire Alpha.,Follow the Foe
4267,Attack the Snapdragon Dire Alpha.,Battle the Alpha
4268,Follow the Snapdragon Dire Alpha to its nest.,To the Nest!
4269,Slay the Snapdragon Dire Alpha in its nest.,Slay the Alpha
4270,Drive back the Gargantuan Deepcoil Slitherking.,We're Under Attack!
4271,Follow the Gargantuan Deepcoil Slitherking.,Follow the Foe
4272,Attack the Gargantuan Deepcoil Slitherking.,Battle the Slitherking
4273,Follow the Gargantuan Deepcoil Slitherking to its nest.,To the Nest!
4274,Slay the Gargantuan Deepcoil Slitherking in its nest.,Slay the Slitherking
4275,Drive back the Towering Cavern Glimmershell.,We're Under Attack!
4276,Follow the Towering Cavern Glimmershell.,Follow the Foe
4277,Attack the Towering Cavern Glimmershell.,Battle the Glimmershell
4278,Follow the Towering Cavern Glimmershell to its nest.,To the Nest!
4279,Slay the Towering Cavern Glimmershell in its nest.,Slay the Glimmershell
4280,Drive back the Elder Trench Glider.,We're Under Attack!
4281,Follow the Massive Hardened Razorshell.,Follow the Foe
4282,Attack the Elder Trench Glider.,Battle the Glider
4283,Follow the Elder Trench Glider to its nest.,To the Nest!
4284,Slay the Elder Trench Glider in its nest.,Slay the Glider
4285,Drive back the Invasive Reefwalker.,We're Under Attack!
4286,Follow the Invasive Reefwalker.,Follow the Foe
4287,Attack the Invasive Reefwalker.,Battle the Reefwalker
4288,Follow the Invasive Reefwalker to its nest.,To the Nest!
4289,Slay the Invasive Reefwalker in its nest.,Slay the Reefwalker
4290,Drive back the Monstrous Great Eel.,We're Under Attack!
4291,Follow the Monstrous Great Eel.,Follow the Foe
4292,Attack the Monstrous Great Eel.,Battle the Great Eel
4293,Follow the Monstrous Great Eel to its nest.,To the Nest!
4294,Slay the Monstrous Great Eel in its nest.,Slay the Great Eel
4307,"The naga are summoning a creature from the deeps, slay them!",Ritual of Summoning
4308,Defeat the summoned monstrosity.,Summon from the Deeps
4309,"Azshara herself has summoned and empowered the monstrosity, it must be slain!",Empowered Monstrosity
4311,Reach the inner chambers of the Halls of Origination.,Unwelcome Guests
4312,Lead the assault on Mechagon.,Operation: Mechagon
4313,Free the corrupted drakes atop the Vermillion Redoubt.,Stemming the Corruption
4316,Disable the defensive systems in the Chamber of Prophecy.,Ever Watching
4317,Defeat Watcher Aum-Ka and activate the lift in the Maker's Rise.,Construct Destruction
4318,Re-route the power circuits in the Vault of Lights to the Maker's Rise terminal.,Rise Up
4319,Defeat Sun Prophet Tenhamen.,Cutting the Strings
4320,Take the lift to the upper chamber of the Maker's Rise and reactivate the Forge of Origination.,Rebooting Origination
4321,Reach the lift in the Maker's Rise.,Hostile Halls
4322,Defeat the Sludge Belcher.,It Just Wants to Play!
4323,Defeat the Wandering Phantasm and Crypt Fiend guarding the Ziggarat.,Scary Ghosts and Creepy Fiends
4324,Defeat Liz the Tormentor,Tormented Spirits
4325,Proceed further towards Slaughter Square.,Ain't Afraid of No Ghosts
4326,Defeat the plagued critters!,Ambush!
4327,Defeat the Risen Guard,No Shortage of Dead Things
4328,"The shortest necromancer you've ever seen is in your way, stop him!","Tiny In Size, Brimming With Evil"
4329,Control the Sludge Belcher and clear out the courtyard!,Controlled Chaos
4331,Enter the slaughter house and face your final foes!,Into the Slaughter House!
4332,The Shadowy Figures are back! This can't be good.,The Shadows Return
4336,Find a way to the lower levels of Mogu'shan Palace.,A Way Down
4340,Activate the Ancient Lever in the Crimson Assembly Hall.,Watch Your Step
4341,Find a way to open the sealed door in the Forgotten Passageway.,A Weighty Problem
4342,Reach the Mogu'shan Vaults through the secret route from the Forgotten Passageway.,The Long Walk
4343,Destroy the Manifestations of N'Zoth being summoned into the Repository.,Madness Manifest
4344,Fight through the mantid forces in the Hall of the Shapers to reach the Engine of Nalak'sha.,The Hall of the Shapers
4345,Defeat Yox'ith in the Engine of Nalak'Sha.,The Final Summoning
4346,Network the Engine of Nalak'sha to the Chamber of Heart.,Revving the Engine
4349,,Investigate the Town Hall
4350,,Defeat the Monstrosity
4351,,Defeat the Deprivator
4352,,Take the Anima Stream
4353,,Find the Fragment of Jaina
4354,,Free the Fragment of Jaina
4355,Collect Reward and exit vision.,Collect Reward
4356,The time has come to assault Queen Azshara in her seat of power.,The Grand Reception
4357,"Deep within the halls of the Eternal Palace, Queen Azshara's most loyal lieutenants seek to stop your incursion.",Depths of the Devoted
4358,Something stirs in the depths as Queen Azshara's ritual nears completion.,The Circle of Stars
4359,Stop the Amathet from breaching the Halls of Origination and activating the Origination Protocol.,The Radiant Blade
4361,Investigate and destroy the experiments in Fleshrender's Workshop and Den of the Devourer.,Experimental Setback
4362,Gain access to the Vault of the Shadowflame.,Forced Entry
4364,Speak with Wrathion to begin the ritual.,Ritual of Flame
4365,Destroy the remains of Onyxia and Nefarian.,Preventative Measures
4366,Retrieve the Corrupt Black Dragonscales.,Scales of Corruption
4367,Speak with Gazlowe at the dock.,Hostile Takeover
4368,Rescue Hobart Grapplehammer.,Held Hostage
4369,Equip the X-52 Body Armor.,Suiting Up!
4370,Investigate the Athenaeum.,The Athenaeum
4371,Destroy the corrupted experiments in the Athenaeum.,Twisted Experiments
4373,Collect Reward and exit vision.,Collect Reward
4374,Defeat Gallywix.,Taking Back The Town
4375,Re-enter the Vision of N'Zoth.,Into the Vision
4376,Defeat the manifestation in The Maker's Rise.,Dark Manifestations
4377,Use the lift in The Maker's Rise to locate the anomaly.,Final Ascent
4378,Defeat the anomaly at the Forge of Origination.,Restoring Power
4380,Destroy the barrier preventing access to the lower hallway.,Descent Into Madness
4381,Stop the ritual to free Wrathion.,Free From Darkness
4382,Meet Wrathion at the magical barrier in the Vault of the Shadowflame.,Curious Magic
4383,Defend Wrathion while he dispels the barrier.,Concentration is Key
4387,Locate the power terminal for the Maker's Rise in the Vault of Lights.,Underpowered
4388,Awaken stoneborn who are loyal to Prince Renathal.,Awaken the Army
4389,Meet Prince Renathal and your allies at Dominance Gate.,Rally at Dominance Gate
4390,Reach the far side of Dominance Gate.,The Stone Legion Gauntlet
4391,Defeat General Kaal,General of the Stone Legion
4392,Disable Anima Diverters,To Dam the Damned
4393,Join Renathal and the Harvesters for the final assault.,The Master
4394,,Operation: Mechagon
4395,,Operation: Mechagon
4396,,Operation: Mechagon
4397,,Operation: Mechagon
4398,Save the Rustbolt Resistance from the omnipresent HK-8 Aerial Oppression Unit.,Operation: Mechagon - Junkyard
4399,,Operation: Mechagon - Workshop
4404,"From his dark throne, N'Zoth concocts visions of a future where Azeroth has fallen, and none are left to resist his empire.",Vision of Destiny
4405,"Within their black halls, N'Zoth's devoted perform profane rituals to bring about the end of the world.",Halls of Devotion
4406,"Buried deep within a fissure of twisted flesh, Il'gynoth's corruption continues to spread from this realm into the next.",Gift of Flesh
4407,"Deep within his monument of filth, lies the corruptor, and the final confrontation that will determine the fate of Azeroth.",The Waking Dream
4408,Enter the arena.,The Lair of Shadows
4411,Climb to the top of the citadel and stop Gor'groths profane ritual.,Darkmaul Citadel
4412,Defeat Horu Cloudwatcher in a pet battle.,The First Challenger
4413,Defeat the uncaged beast.,Uncaged
4414,Defeat Therin Skysong in a pet battle.,Futile Resistance
4415,Defeat the uncaged creatures.,Desperate Measures
4416,Defeat Alran Heartshade in a pet battle.,They Have a New Plan
4417,Defeat Zuna Skullcrush in a pet battle.,Smash it Up
4418,Defeat Tasha Riley in a pet battle.,The Final Countdown
4419,"Battle against Pixy Wizzle and defeat their ""powerful weapon"".",They Spent Years on That?
4420,Defend the Chamber of Heart,Defend the Chamber of Heart
4421,Begin the attack on the Temple of Elune.,Temple of Elune
4422,Kill the defenders of the Temple of Elune.,Fall of Ysera
4424,Continue the investigation.,Investigation Effort
4425,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4426,Break through the upper terrace,Where the Pieces Fall
4427,Assist Bonesmeith Heirmir.,Heir to the Primus
4428,Free beasts of war.,Unleash the Helhounds!
4429,Regroup with the forces of Alexandros and Baroness Vashj.,The Highlord and the Lady
4430,Escape the House of the Chosen.,Courage Guide Thy Blade
4431,Assist with Marileth's 'testing'.,Caustic Chemistry
4432,Defend the Sanctum.,"Together, We Ride!"
4433,Defeat Margrave Krexus.,When One Door Closes...
4434,Expel all invading forces inside Tirna Glayn.,Retake the Grove
4435,Use Niya's traps to defend the North Gate.,The North Gate
4436,Heal fae at the East Gate with Dreamweaver.,The East Gate
4437,Defend the West Gate of Tirna Glayn with Korayn.,The West Gate
4438,Defeat Ingra Saor.,Saor the Drainer
4440,Load Ysera's Chrysalis into the Wagon.,Dangerous Loading
4441,Mount the Cart to escape Tirna Glayn.,All Aboard
4442,Escape to the Heart of the Forest.,Path of Rebirth
4443,Investigate the memory.,A Lost Cause
4444,Find the next memory.,A Desperate Gambit
4445,Find the next memory.,A Peace Made
4446,Find the next memory.,A Parting of Ways
4447,Find the next memory.,A Sacrifice Paid
4448,Relive the last moments of the Night Warrior.,A Moon's Death
4449,Search Torghast for Tyrande Whisperind,Find Tyrande Whisperwind
4450,Aid Tyrande in defeating Maw Assassins,Fend off Maw Warriors
4451,Tyrande is not stopping. Try to keep up with her.,Keep up with Tyrande Whisperwind
4452,Tyrande charged ahead. Deal with the incoming Maw minions!,Defeat Maw Ambushers
4453,"Tyrande is up ahead, try to catch up with her!",Catch up with Tyrande
4454,Tyrande has pushed forward. Find another way to catch up with her.,Follow the new path to Tyrande
4455,Skuld stands in your way!,Defeat Skuld
4456,Tyrande must be up ahead. Find her!,Catch up with Tyrande
4457,The Maw has created an amalgam of tortured night elf souls. Help Tyrande fight them off.,Defeat the Tortured Amalgamation
4458,Delve into the Sanguine Depths and rescue your ally.,Sanguine Depths
4460,Delve into the Sanguine Depths and rescue your ally.,Sanguine Depths
4461,Delve into the Sanguine Depths and rescue your ally.,Sanguine Depths
4462,Push forward into the Citadel of Loyalty.,One Small Step
4463,Prepare the court and issue orders to your staff.,Last-Minute Preparations
4465,Confront Kel'Thuzad at the House of Rituals.,Into the Breach
4466,Defeat Empowered Baroness Ninadar.,The Final Lesson of Baroness Ninadar
4467,Stop the Ritual at the Prime Arcanum.,The Prime Arcanum
4468,End Kel'Thuzad's manipulations in Maldraxxus.,The Third Fall of Kel'Thuzad
4470,Witness the First Maldraxxian Armistice.,The Maldraxxian Armistice
4471,Clear the Courtyard.,No Doubt
4472,Defeat Adonias and Phaedra.,Dark Machinations
4473,Push forward to the Truthbringer.,Attack of Opportunity
4475,Stop the Forsworn from activating the Truthbringer.,An Old Friend
4476,Defeat the Maw Infernous.,The Prime Arcanum
4483,Ensure that your guests enjoy the party!,The Court
4484,Collect the tribute left by your guests.,Tribute
4496,Take the gateway to the Temple.,Follow the Path
4497,Confront Lysonia.,In Darkness' Domain
4498,Rally to Elysian Hold's defense!,A Clever Ploy
4499,Defeat Lysonia once and for all.,The Greater Good
4500,Retake the Temple of Courage from the forces of Maldraxxus!,The Necrotic Wake
4501,Direct Ysera to Destroy Drust Forces.,Clear the Way
4502,Tell the Winter Queen what transpired at Darkreach.,Report to the Winter Queen
4504,Lead the Wild Hunt to the Grove of Awakening,Lead the Charge!
4505,Speak with the Queen,Orders from the Queen
4506,Help the Court regain control of the Grove of Awakening.,Reverse the power
4507,The power of the Grove of Awakening is ours once more! Return to the Winterqueen then vanquish Gorak Zhar!,For Queen and Grove
4508,Ascend to the seat of the Archon and strike down Devos.,Spires of Ascension
4509,Ascend to the seat of the Archon and strike down Devos.,Spires of Ascension
4511,Receive the Queen's Blessing,Receive the Queen's Blessing
4515,Defeat the Lord Chamberlain and restore order to the Halls of Atonement in Revendreth.,Halls of Atonement
4516,Defeat the Lord Chamberlain and restore order to the Halls of Atonement in Revendreth.,Halls of Atonement
4517,Defeat the Lord Chamberlain and restore order to the Halls of Atonement in Revendreth.,Halls of Atonement
4518,Retake the Temple of Courage from the forces of Maldraxxus!,The Necrotic Wake
4519,Retake the Temple of Courage from the forces of Maldraxxus!,The Necrotic Wake
4521,Prepare for combat!,Preparation
4523,Meet Prince Renathal in the Court of Harvesters.,Rally with the Rebels
4524,Destroy the source of the plague to prevent it from spreading across Maldraxxus!,Plaguefall
4525,Destroy the source of the plague to prevent it from spreading across Maldraxxus!,Plaguefall
4526,Prevent the plague from spreading across Maldraxxus!,Plaguefall
4527,Unwind and enjoy the leftovers. Stay as long as you like!,The After Party
4535,Interrogate Adept Necromancers to discover the location of Kel'Thuzad.,Taking the Necropolis
4536,Assist General Draven in clearing the skies of enemies.,To the Skies!
4537,Speak with your allies on the ground about how to proceed.,A Signal From the Ground
4538,Destroy necrotic crytals to reanimate your allies.,Reanimating Your Allies
4539,Help your allies defeat the Maw Infernous.,United in Battle
4540,Recover the Medallion of Dominion from Kel'Thuzad.,The Medallion of Dominion
4542,Face your opponent!,Fight
4543,Collect your victory reward!,Reward
4544,Every loss is still progress. Collect your reward.,Reward
4545,Overcome the trials of Maldraxxus to prove your might!,The Theater of Pain
4547,Overcome the trials of Maldraxxus to prove your might!,The Theater of Pain
4548,Overcome the trials of Maldraxxus to prove your might!,The Theater of Pain
4549,"The battle is won, but what of Tyrande?",Tyrande Whisperwind's Refusal
4550,"Tyrande is gone, but you can still save the group of night elves trapped in the Maw.",Salvation of the Night Elves
4551,Defeat Tred'ova and save Tirna Scithe.,Mists of Tirna Scithe
4552,Speak with the Winter Queen to depart,The Return to Calm
4553,Retake the Temple of Courage from the forces of Maldraxxus!,The Necrotic Wake
4554,Traverse into De Other Side to aid Bwonsamdi against the primal loa Mueh'zala.,De Other Side
4555,Defeat the Lord Chamberlain and restore order to the Halls of Atonement in Revendreth.,Halls of Atonement
4556,Destroy the source of the plague to prevent it from spreading across Maldraxxus!,Plaguefall
4557,Delve into the Sanguine Depths and rescue your ally.,Sanguine Depths
4558,Overcome the trials of Maldraxxus to prove your might!,Theater of Pain
4581,Prepare for combat!,Preparation
4582,Face your opponent!,Fight
4583,Collect your victory reward!,Reward
4584,Every loss is still progress. Collect your reward.,Reward
4585,Walk with Temel to the refreshments area.,Preparing For Court
4586,"Temel likes a Clean court, so clear some rubble for him.",Quick Clean Up
4587,Await the Ember Court's first guest.,The First Guest
4588,"Theotar likes a Formal court, so offer him some tea.",A Formal Fellow
4589,Not everyone prefers the court to be Formal.,Different Tastes
4590,Watchmaster Boromod likes a Casual court. Start a fight to entertain him.,Keep It Casual
4591,Make as many of the guests happy as you can before the rehearsal ends.,Ember Court Rehearsal
4592,"Receive tribute from your guests, based on their current mood.",Tribute
4593,Speak with Prince Renathal to leave the Ember Court.,Until Next Time
4594,Traverse into De Other Side to aid Bwonsamdi against the primal loa Mueh'zala.,De Other Side
4595,Traverse into De Other Side to aid Bwonsamdi against the primal loa Mueh'zala.,De Other Side
4596,Traverse into De Other Side to aid Bwonsamdi against the primal loa Mueh'zala.,De Other Side
4597,Defeat Tred'ova and save Tirna Scithe.,Mists of Tirna Scithe
4599,Defeat Tred'ova and save Tirna Scithe.,Mists of Tirna Scithe
4600,Defeat Tred'ova and save Tirna Scithe.,Mists of Tirna Scithe
4601,Collect the tribute left by your guests.,Tribute
4602,Collect the tribute left by your guests.,Tribute
4603,Collect the tribute left by your guests.,Tribute
4607,,Visit the Runecarver
4608,It is time to return to Ardenweald with the rescued night elves in the Soulkeeper.,The Kaldorei Rescued
4609,Mawsworn Tormentors are converting the suffering into Soul Eaters. Stop them.,End the Suffering
4611,Destroy Mawsworn Accusers before Starving Soul Eaters are fed to the Shifting Life-Eater.,Do NOT Feed the Beast
4612,Destroy Mawsworn Accusers before Starving Soul Eaters are fed to the Shifting Life-Eater.,Do NOT Feed the Beast
4614,The Stygia released by the slain is transforming.,Roiling Stygia
4615,Stygia normally only found in the depths of The Maw has risen to the surface.,Congealed Stygia
4616,More creatures made from Stygia have emerged.,Fused Stygia
4617,A great Stygia behemoth has emerged.,Tempered Stygia
4618,Mawsworn are shattering souls and feeding them to Shadehounds. Put an end to their rituals.,Essence Feast
4619,A ritual has succeeded and must be stopped.,Gorged Shadehound
4620,Breach Kel'Thuzad's defenses.,Plan of Attack
4629,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4630,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4635,Defeat Displaced Soul Feeders before they are consumed by the Shifting Life-Eater.,Ritual Experimentation
4637,Defeat the Undying Soulbinder and the Shifting Life-Eater.,Soul Bound
4638,Clear enemy forces.,Storm the Courtyard
4643,Delve deep below Castle Nathria to staunch the flow of anima into the Maw.,The Leeching Vaults
4646,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4647,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4648,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4649,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4650,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4651,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4652,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4653,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4654,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4655,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4656,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4657,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4658,Explore the opulent halls of Castle Nathria and disrupt the festivities within.,Reliquary of Opulence
4659,Crush all opposition guarding the path to the pinnacle of Castle Nathria.,Blood from Stone
4660,Orchestrate the downfall of Sire Denathrius.,An Audience with Arrogance
4662,Learn about Crash Lightning.,Thunder and Crash
4663,Learn about Lightning Bolt.,Lightning Bolt!
4664,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4665,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4668,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4669,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4670,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4671,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4672,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4673,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4674,Crush Denathrius' remaining forces in the Menagerie of the Master.,Clear the Menagerie
4677,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4678,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4681,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4682,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4683,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4684,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4685,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4686,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4687,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4688,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4689,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4690,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4691,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4692,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4693,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4694,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4695,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4696,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4697,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4698,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4699,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4700,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4701,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4702,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4703,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4704,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4705,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4706,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4707,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4708,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4709,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4710,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4711,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4712,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4713,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4714,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4715,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4716,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4717,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4718,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4719,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4720,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4721,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4722,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4723,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4724,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4725,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4726,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4727,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4728,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4729,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4730,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4731,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4732,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4733,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4734,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4735,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4736,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4737,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4738,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4739,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4740,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4741,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4742,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4743,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4744,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4745,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4746,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4747,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4748,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4749,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4750,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4751,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4752,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4753,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4754,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4755,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4756,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4757,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4758,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4759,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4760,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4761,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4762,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4763,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4764,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4765,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4766,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4767,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4768,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4769,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4770,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4771,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4772,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4773,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4774,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4775,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4776,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4777,Destroy Anima Devourers,Death From Above
4778,Defeat the Alpha Anima Devourer,Alpha Strike
4780,Defeat the Jailer's forces.,Armies of the Mawsworn
4781,Defeat the executioner sent from Torghast,Might of Torghast
4787,Ascend to the seat of the Archon and strike down Devos.,Spires of Ascension
4788,Ascend to the seat of the Archon and strike down Devos.,Spires of Ascension
4791,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4792,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4793,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4794,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4795,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4796,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4797,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4798,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4799,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4800,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4801,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4802,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4803,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4804,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4805,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
4806,Your deaths have attracted the Tarragrue! Get to the next floor before he does!,Hurry Up!
4807,"Save souls, seek power, and defeat the Jailer's forces.",Ascend the Tower
